# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.245093761137001209e-01 2.222426617676141053e-02 6.878240360532662523e-01 3.090987007110024276e+00 9.633456594583226229e-01 3.175212778433933458e-01 2.356191201709981087e+00 4.431707954949677841e+00 -7.348248004066002369e+07 -7.348249299769212306e+07
3.340397175846361866e-01 2.168245431931204240e-02 6.982199181000018351e-01 3.132454838623592863e+00 9.588908200866056442e-01 5.133905250068564463e-01 6.764488641513199063e+00 3.642106539820090916e+00 -5.095713368721253276e+08 -5.095713498291574121e+08
3.035222460554376500e-01 2.229933089852950689e-02 7.068284018879199548e-01 3.161773545268430130e+00 9.632913174499542208e-01 -1.001607421050190183e-01 1.029989802537995658e+01 3.855395808580251327e+00 -2.341807846002739429e+09 -2.341807858959771156e+09
2.885534238722855527e-01 2.236392387471888843e-02 7.174393940677916692e-01 2.950141725817808425e+00 9.642009171290700786e-01 1.166500977059746980e+00 7.761555445782407858e+00 -6.643698633557077571e+00 -inf -inf
3.392370661734457893e-01 2.241944702085931981e-02 7.126926687495924728e-01 3.026653851367290038e+00 9.599751843978538979e-01 1.094946196577071262e-01 4.696503248693089994e+00 4.136490658424465394e+00 -5.230083173810706139e+08 -5.230083303381026983e+08
3.126591817922986793e-01 2.213862110501783539e-02 7.224665182672092012e-01 3.080328736100901743e+00 9.619201266916490578e-01 1.376904640537353064e+00 1.113852231068857002e+01 -5.391193925152904853e+00 -inf -inf
3.566486792318902532e-01 2.178701301391337830e-02 7.152092691179063877e-01 2.936362034976432778e+00 9.709949235597616912e-01 -1.274761380200665872e+00 3.419579857071376239e+00 1.049299502979229359e+00 -inf -inf
3.149428483270073631e-01 2.251500349071446777e-02 6.713348632612780031e-01 3.189819575718629174e+00 9.664261950995569617e-01 3.663719837234256094e-01 1.112219473704195494e+01 2.272883716127326537e+00 -3.343347595770586655e+07 -3.343348891473797336e+07
3.500816805157641598e-01 2.259668591116626921e-02 7.028381772885399226e-01 3.139830354593481587e+00 9.659973613086477728e-01 1.865662988440650594e-01 4.398410736671385379e+00 6.167568729598992050e+00 -1.755054199399105225e+12 -1.755054199412062256e+12
2.863136161592348405e-01 2.258874675249527772e-02 7.226942280938362106e-01 3.043934824201683043e+00 9.677552569118629266e-01 6.372824547280107055e-01 4.828875827238503504e-01 6.042492498379786525e+00 -3.598124725143823028e+07 -3.598126020847033709e+07
3.106326830924165949e-01 2.151937905497953996e-02 6.196095439231678048e-01 2.934381758251290773e+00 9.656625810802158538e-01 -6.973564430749563670e-01 1.093432711834505433e+01 2.416254416501800506e+00 -1.132321587345937639e+07 -1.132322883049148321e+07
3.415420068478450255e-01 2.188495943515166020e-02 6.949111458672821984e-01 3.050378417213690518e+00 9.587281177697037915e-01 -1.358622563179965992e+00 9.866728975039643856e+00 -7.536295112270838814e-01 -inf -inf
3.089077664634306553e-01 2.223614756169669388e-02 6.243904889943383552e-01 2.837812317939902851e+00 9.611526338958298332e-01 1.166347371530522814e+00 8.188398952397573538e+00 1.253906558424677797e-02 -inf -inf
3.033148051667706735e-01 2.224648859951885646e-02 6.150755406551490223e-01 3.017353806858675824e+00 9.618037941188303241e-01 -1.299086680320749476e+00 8.305078857335209008e+00 -8.563713131008254820e-01 -inf -inf
3.398585311054368452e-01 2.261431068349228912e-02 6.473090171858073560e-01 3.035096277457961733e+00 9.615108954851617762e-01 1.062153170010850634e+00 6.558856725860915837e+00 -5.820916139832997160e+00 -inf -inf
