# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.186018488668442283e-01 2.284153581932789334e-02 7.016456607133996215e-01 2.919429882058489412e+00 9.615738101495540091e-01 1.682415285084408740e-01 6.518478131533080422e+00 4.837050677244711494e+00 -1.145220942195256233e+10 -1.145220943489708328e+10
3.226015138893006395e-01 2.191597525821483913e-02 6.523231939759087661e-01 2.889893218159610644e+00 9.546901411321772057e-01 -1.197136518800541172e+00 8.516420167460944768e+00 -3.988051062931194934e+00 -inf -inf
3.288554564818801929e-01 2.224743155482382037e-02 6.201779050430993312e-01 2.941868437459701724e+00 9.595428994917243326e-01 1.063772834324458572e+00 4.132011996263481812e+00 1.174287092337367611e+00 -inf -inf
3.325074498225922270e-01 2.230426331648624472e-02 6.709066333901567702e-01 2.987381137069555770e+00 9.564841921344582332e-01 1.723270131189869048e-01 6.016700504310534825e+00 2.585055794423935183e+00 -5.770387418833372183e+06 -5.770400363354065455e+06
3.517942063467742742e-01 2.174946748252760270e-02 6.392594325029918867e-01 3.190570197489450699e+00 9.548336123871262737e-01 1.483163493559780832e+00 7.588261636915996089e-01 1.678182754346657646e-01 -inf -inf
3.211324462983854988e-01 2.215354494136959757e-02 6.491569169922194460e-01 3.145044001679021761e+00 9.653631211004168877e-01 9.834325969727113481e-01 8.049980065477065239e+00 -6.100530324843596475e+00 -2.817990168580297905e+03 -2.830934689272885862e+03
3.090747972896865092e-01 2.246256864789518762e-02 6.311144124141150336e-01 2.886599652206906619e+00 9.616905687764530919e-01 5.549676550595892266e-01 7.846819376290658177e+00 2.622136056096117329e+00 -9.118027018276579678e+06 -9.118039962797271088e+06
3.578212707224027733e-01 2.216522969265641296e-02 7.268427728370787655e-01 3.107849169489700358e+00 9.618879396806300219e-01 1.128517853549681149e+00 3.786737870603279266e+00 -5.551668674087274269e+00 -inf -inf
3.465363962966102052e-01 2.251809760328019397e-02 6.392309188633074069e-01 2.948398921720257526e+00 9.629932796681497376e-01 -1.241876834980621735e+00 9.953835544757753340e+00 4.981161121256045377e+00 -inf -inf
3.002029574328235473e-01 2.158109223003418578e-02 6.227921948177709277e-01 2.863301415404944983e+00 9.635750757252534715e-01 -1.194149664561239277e+00 6.595253628052850203e+00 -6.064708024807581310e+00 -inf -inf
3.425907297658400408e-01 2.216499919134359148e-02 6.945438649440367485e-01 3.038708213982040274e+00 9.645080058415245183e-01 1.218370259577957082e+00 2.106669991275706089e+00 -1.390658895428405373e+00 -inf -inf
3.083086611718559022e-01 2.242922333206035651e-02 7.230475972193947110e-01 3.160268432116046800e+00 9.590365337919696254e-01 9.911479785048737945e-01 8.382982010029051523e+00 -3.064158758866538435e+00 -3.387923607940764487e+04 -3.389218060010023328e+04
3.385785827098279910e-01 2.199153099276203449e-02 7.272002672103557996e-01 2.947385755393778339e+00 9.593668555768688488e-01 -1.198302825560963569e+00 9.859384083776419061e+00 5.057163919852120770e+00 -inf -inf
3.560882122841922959e-01 2.263747661930565203e-02 6.838752683105863150e-01 3.083729953769842602e+00 9.578297396435375699e-01 -1.338034874722110690e+00 4.204052196424811427e+00 -3.092574466518623666e+00 -inf -inf
