# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.112256943173823398e-01 2.167892028815979547e-02 6.152672077021146269e-01 2.956629511511067232e+00 9.610011345136275640e-01 -1.466920609241541662e+00 7.671118708675765951e+00 3.010959482704679502e+00 -9.024570476884525269e+06 -9.024583366450173780e+06
3.277351381820663989e-01 2.248327018113845804e-02 7.291000634851391160e-01 3.188469952443368172e+00 9.626551981630854238e-01 -2.777964350336854515e-01 1.200346238586387848e+01 -1.819740484257567736e+00 -inf -inf
3.047448833413105573e-01 2.269629665428164050e-02 7.145686581918545555e-01 2.862302565477120808e+00 9.624606821647941901e-01 1.032179328232678550e+00 5.900315622624049183e+00 -2.234017339963552118e-01 -7.315892184362468834e+04 -7.317181140927415981e+04
2.896301691473477380e-01 2.253986646148224346e-02 6.171497921345923121e-01 3.067770333748510936e+00 9.621656060458463333e-01 -1.294017195020474853e+00 9.693760860849035765e+00 -1.189141801151908595e+00 -5.437350412664292526e+04 -5.438639369229238946e+04
2.815501929014624372e-01 2.265074663575916344e-02 6.353880003045395686e-01 3.160872693594214855e+00 9.638274799224625378e-01 -1.247153835277785117e+00 1.123942207022608564e+01 -2.470142795406498948e+00 -3.607618491184934828e+04 -3.608907447749881248e+04
3.464892308173460611e-01 2.211097772031190775e-02 7.000071786534874940e-01 3.215878705405443405e+00 9.672806995503585581e-01 -9.518634846242896019e-01 8.437209233241553363e+00 2.590293413427335878e-01 -inf -inf
2.981080065724827088e-01 2.254904277488554640e-02 6.266747944451180885e-01 2.880355510713917155e+00 9.644723376213850674e-01 -3.355839919206671240e-01 1.140826880330318538e+01 -2.902712628436633580e+00 -3.460814956501837878e+04 -3.462103913066784298e+04
3.083297886509404062e-01 2.113058873794452022e-02 6.344474504055015451e-01 3.035710653469757325e+00 9.688978016507273638e-01 7.228690345528026029e-01 2.612980659666787275e+00 4.133406184198737066e+00 -2.319300656878187880e+07 -2.319301945834752917e+07
2.810176857550118479e-01 2.202714502132134544e-02 6.592820943739444717e-01 3.071132380263605022e+00 9.552337091515191725e-01 3.543735186818928184e-01 1.042520642729287417e+01 4.775285647144835721e-01 -4.086269740632582689e+05 -4.086398636289077695e+05
2.936396625705953167e-01 2.220400563180406628e-02 6.141766518290496801e-01 3.199396940375450082e+00 9.590205699749019264e-01 3.876397312045489763e-01 5.388940876851898487e+00 6.016631392768985620e+00 -2.628201468027048874e+10 -2.628201469316005325e+10
2.873219971116359184e-01 2.179165530337557818e-02 6.249430639621916805e-01 3.133415591935183375e+00 9.598137508050376132e-01 -1.907111416235014456e-01 7.889386845330653486e+00 2.008935447521764672e-02 -1.007372636619913828e+05 -1.007501532276408543e+05
3.309294752048210775e-01 2.275793101109928676e-02 6.492707246729912951e-01 3.155228393953582788e+00 9.613232208604710616e-01 -8.430971957691945073e-01 7.274449969445441200e-01 5.248683640925571936e+00 -1.055780004165621661e+07 -1.055781293122186512e+07
3.180267216195022395e-01 2.199123103164853099e-02 6.934604491818650018e-01 3.135916297157484767e+00 9.615519537777215131e-01 8.995117079934629167e-01 6.710003643402711937e+00 5.976891680955754182e+00 -2.874765223556453247e+11 -2.874765223685349121e+11
