# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.532744830953772341e-01 2.248988816358398271e-02 6.286566862738578454e-01 2.874781167646481617e+00 9.656596325835560268e-01 -1.084657360512428781e+00 4.061501968377892346e+00 1.498113505707827642e-01 -inf -inf
3.140615135145971015e-01 2.273953492567051121e-02 6.481346100920128972e-01 3.170906476636119020e+00 9.691141958251807687e-01 1.037782832817838674e+00 7.225221716976649944e+00 -1.660077546467173093e+00 -inf -inf
3.376852721085700226e-01 2.226479292768744622e-02 6.331783125561056824e-01 2.993341076578098559e+00 9.646375563154290234e-01 -7.490772257810214274e-01 5.436824185199314208e+00 4.604463673118873501e+00 -1.442865525665526152e+09 -1.442865537692512512e+09
2.921516646336435041e-01 2.172761106231895292e-02 6.726594772788356824e-01 2.968760127450949859e+00 9.614986527176592190e-01 1.403381952257107379e+00 3.454630621154042736e+00 2.444283516189777572e+00 -inf -inf
3.328235837889933491e-01 2.200083290878187756e-02 6.235974711018612560e-01 3.047117745392210253e+00 9.605643508115532248e-01 3.032799267714616498e-01 1.048673680411185138e+01 4.472906397989856231e+00 -1.989202539150559616e+10 -1.989202540353258514e+10
3.083203978314214555e-01 2.272175269214333701e-02 6.712182948180867026e-01 2.894273281538624953e+00 9.568938545783652883e-01 -1.722842432573026272e-01 1.122286695248030064e+01 2.857317700715947595e+00 -6.465976661457641423e+07 -6.465977864156278223e+07
3.452291996446487099e-01 2.195823982376745448e-02 6.663671221096523212e-01 3.150082930768488776e+00 9.627728424896064841e-01 -1.372410045011082769e+00 1.014434686222865167e+01 -3.489341087655153384e+00 -inf -inf
3.109907665646511887e-01 2.238084934674131748e-02 6.283462670400441485e-01 3.160882447985047250e+00 9.633087777763118531e-01 1.136473357077536939e+00 3.282754459435373473e+00 2.294064013546481817e-02 -inf -inf
3.395465849747255627e-01 2.224144318834850309e-02 7.296988187731426878e-01 3.063557665067923708e+00 9.692588529288904686e-01 -8.573928182159257227e-01 2.851554228287356274e-01 5.052230784816028830e+00 -2.892364410837819451e+05 -2.892484680701548932e+05
2.866442680142653465e-01 2.226648195630568858e-02 6.884107976215290137e-01 2.885005617117788024e+00 9.612611226135718834e-01 -5.286717187461446033e-01 7.045631782034389445e+00 6.158112819257134163e+00 -5.950613126821875000e+11 -5.950613126942144775e+11
3.395836194350203008e-01 2.171350820704412432e-02 6.342802214401711547e-01 3.178535994043107937e+00 9.635457900219304150e-01 1.069646170080989833e+00 7.162108289212484102e+00 -6.428006962782828460e+00 -inf -inf
2.942473001402115540e-01 2.210492221773406596e-02 6.906569863186440283e-01 2.880157840626472954e+00 9.594133043637385061e-01 -1.460405281824315171e+00 4.770476165825225046e+00 5.591927970290322847e+00 -inf -inf
3.276876345305463345e-01 2.184208158052258764e-02 6.761416190391883463e-01 3.121803935678689079e+00 9.651938802591419897e-01 4.609397955423215620e-01 7.540906275204111608e+00 5.792178326432283697e+00 -1.050501159009261108e+12 -1.050501159021288086e+12
2.866345971357461830e-01 2.254150552440949834e-02 7.234083447916063170e-01 2.919849991794118527e+00 9.619590960284339909e-01 1.054176884677386461e+00 8.646909388022919529e+00 -2.039388181522820531e+00 -inf -inf
