# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.072972611531817888e-01 2.246483337434194982e-02 7.065222114085258909e-01 2.986034595151214610e+00 9.615658170614120870e-01 -8.286717481864823709e-01 1.467425477246564469e+00 1.107039706046989558e+01 4.346233838502529423e+00 8.885023636641204980e-01 1.762290045459319554e+00 1.097045665794146974e+00 2.088466832700092368e+00 9.633038957412140002e-01 -3.880774202147770691e+10 -3.880774206200301361e+10
3.594261467898443030e-01 2.149550741694787603e-02 7.021992121293874067e-01 3.021503377760751174e+00 9.568853375318625565e-01 -1.218592762114828254e+00 -8.389678177931311209e-01 2.472512419219812685e+00 -4.683219814282716165e+00 2.206044824577686470e+00 1.180455857663237129e+00 1.438176065260443837e+00 1.528725214348820582e+00 1.079628381186423347e+00 -inf -inf
3.460966676727281754e-01 2.256383264551322168e-02 7.126081034438012107e-01 2.888601219804675324e+00 9.612013894426344462e-01 6.876314585335552287e-01 -1.369605497037999609e+00 6.912625378816438904e+00 5.815799748840460026e+00 1.781470633615366506e+00 2.646743072784176753e+00 1.131215024863459151e+00 2.743987018718662796e+00 2.890025827164537375e+00 -inf -inf
2.949451938879743551e-01 2.227563667184942475e-02 6.703238210942613629e-01 3.061404449563959407e+00 9.648450535221252400e-01 5.270672001636880211e-01 -1.463740807775672170e+00 2.437951308179711063e+00 1.663614073496026080e+00 2.358479717934347519e+00 1.755222645036283335e+00 9.999036411015312931e-01 1.222821045985531541e+00 2.455926679509210508e+00 -inf -inf
2.913949826663219111e-01 2.250940880361239002e-02 6.211320669772624203e-01 3.100018198393982516e+00 9.545322057866589827e-01 -1.037968741870241907e+00 8.364539306381519879e-01 7.227322082252916502e+00 4.179405623031232864e+00 2.685476959482907766e+00 2.489925659073944697e+00 2.648371366955387440e+00 2.466098162386015424e+00 1.755767156839647347e+00 -inf -inf
3.491020183983958858e-01 2.215197801020848956e-02 6.423885923204223358e-01 3.043623378778410604e+00 9.607285914428055351e-01 -5.135122758672154841e-01 -1.388590053931048729e+00 1.512950583538705596e+00 -5.594541090947867445e+00 1.093426643981492141e+00 1.110917643645243924e+00 2.655078789483508395e+00 9.499141361429415120e-01 1.097580629198164015e+00 -inf -inf
3.152636870797070334e-01 2.231714299737294974e-02 6.988511133898549499e-01 3.150396884975772416e+00 9.622194521936587863e-01 1.039029768589353697e+00 -4.549059689824195285e-01 4.792748641654655195e+00 1.728551130366376753e+00 9.215871052399169372e-01 9.929408644653012761e-01 1.679072027385254406e+00 2.317853793359553549e+00 2.612328699140405330e+00 -1.158786724851477891e+06 -1.158827250158365583e+06
3.063663722719489058e-01 2.165442526592874575e-02 6.224079478853253855e-01 3.105642370852954137e+00 9.597151297725401431e-01 -7.219010312546231267e-01 1.066685293632896325e+00 1.178806004206520086e+01 5.333651002195303192e-01 9.442785960714465965e-01 2.802968247893389275e+00 1.907719068397448758e+00 1.575174806485754919e+00 1.334996561503080326e+00 -inf -inf
2.911410587282792228e-01 2.163289109952828623e-02 6.166802904974610922e-01 3.211768530036262614e+00 9.570562114018430488e-01 2.458325612154630413e-01 -1.310477592249301715e+00 5.151730005086123221e+00 6.183099483550575926e-01 1.598294958515360964e+00 2.375420877255358665e+00 1.874021870930046019e+00 2.696624122150921732e+00 2.346076772700868673e+00 -inf -inf
2.890119889671599052e-01 2.240522601361604263e-02 6.531865028630602366e-01 3.167562700869053227e+00 9.620687677345327593e-01 -5.122572245687907477e-01 -1.456142510620392461e+00 8.523300468926597873e+00 -5.957807138156476334e+00 1.461124903440477407e+00 2.255743424947766584e+00 2.632248090744135460e+00 1.681963990929182806e+00 2.788295951456412958e+00 -inf -inf
