# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.539529362863130246e-01 2.224001641258681675e-02 6.506569930924103184e-01 3.199359895209084925e+00 9.595993359961952907e-01 1.097514683571267913e+00 5.126341984233406812e-01 5.280632572558012328e+00 -3.600988262552905272e+00 2.705860159189486858e+00 9.811718080273614806e-01 1.662106859357078026e+00 2.231588546162211806e+00 1.625825150663628538e+00 -inf -inf
3.318971376019338448e-01 2.276059123724468239e-02 7.240265565528547498e-01 3.200222951166813434e+00 9.644987101559949760e-01 1.125619097715417460e+00 -7.581975470108026638e-01 6.192757145809393293e+00 5.334187108763227769e+00 2.249715538055779618e+00 2.248935840256403473e+00 2.661428106186569664e+00 1.163536378443042807e+00 2.590038743650624475e+00 -inf -inf
3.569626841400831974e-01 2.182000728817234947e-02 6.908758919873686510e-01 2.981100933295114608e+00 9.580841198877677600e-01 -7.102133537582012712e-01 6.358643741284808470e-01 9.237618510672312766e+00 -5.929913271309015244e-01 2.758753161261816800e+00 1.487289370801834654e+00 1.854605010622673467e+00 2.089823351029446385e+00 1.143191440512678847e+00 -inf -inf
3.086707932132292664e-01 2.254049566166616697e-02 6.852725427782561107e-01 3.053710927482187643e+00 9.579465073309944012e-01 -1.161572389350346679e+00 -1.344552416752962110e-01 9.283436375208712121e+00 3.986454192209615499e+00 1.985604935768825685e+00 2.179589139834118505e+00 1.286166634241415974e+00 1.281585699555093383e+00 2.064745126700281652e+00 -4.213970798373692513e+09 -4.213970842993785381e+09
2.836915542786337396e-01 2.212720346945374131e-02 6.688809428554265413e-01 3.138403315194990384e+00 9.636655472982761372e-01 -1.063077393851024510e+00 1.240735159706354729e+00 9.521416465719546807e+00 4.997439669768239057e+00 9.994853290579781557e-01 2.126300158984996358e+00 1.021009649081034310e+00 2.752106317571049843e+00 2.077118939681460219e+00 -1.095499864341851349e+11 -1.095499864788052216e+11
3.370107826132414108e-01 2.252461507642439936e-02 6.144195738138623630e-01 2.957188947947486213e+00 9.562370131831113840e-01 -1.152854727857512973e+00 -9.483810530319849441e-01 1.157727345156604670e+01 -1.521415263460325740e+00 1.195200587737734299e+00 1.108743861052564394e+00 2.672984455347751087e+00 1.201955952902419300e+00 1.411696348167385651e+00 -inf -inf
2.892073928834311136e-01 2.158606483269783632e-02 6.552566225729098415e-01 3.080092605459320509e+00 9.611118788246665323e-01 -3.806951152219912871e-01 -1.466092290482589711e+00 1.115121280539716864e+01 4.402719950294130768e+00 1.727255285570644672e+00 1.128055637276325074e+00 1.231351589739571928e+00 2.143924226177258419e+00 2.883861177888486615e+00 -inf -inf
3.593753677142286218e-01 2.254394594784824360e-02 6.869789484954420544e-01 2.988909551756445904e+00 9.641583700769303933e-01 1.928772799298181795e-01 -1.799863589089327753e-01 4.265586985385901642e+00 -1.459570644650079352e+00 1.247833940407252040e+00 2.015878791734011521e+00 1.326201960240844357e+00 9.369784411193147200e-01 2.692069872784189410e+00 -inf -inf
3.345208771960522798e-01 2.183233754313281677e-02 6.156003185672358491e-01 2.944138009090896180e+00 9.605139741422672461e-01 -9.368941093645389850e-01 -1.145311617491003187e+00 6.902130691887697900e+00 1.456450767525518941e+00 1.119732064377498615e+00 1.044190169769135812e+00 1.507895158566217475e+00 1.427855471932317544e+00 2.761480677466971123e+00 -inf -inf
3.097796313625587605e-01 2.175239348157343919e-02 6.447134558405777094e-01 2.884224137226398810e+00 9.697621980851948154e-01 3.434449801491457066e-02 6.393350731902947004e-01 5.120854213489266726e+00 6.136702275570891985e+00 2.281306497875396744e+00 2.760326094500975991e+00 1.821010639313407786e+00 1.730154997316550647e+00 8.394133344030725308e-01 -4.916127157744204712e+11 -4.916127158190405273e+11
