# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          q1          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.020819705581308523e-01 2.251108532128589731e-02 6.784338418112250135e-01 2.959312738400273091e+00 9.592726319924967937e-01 -1.260388545054016429e+00 4.754559500845214615e-01 -3.600184867821112356e-01 1.179637420575737927e+01 -5.469885792480519981e+00 1.365749831376418921e+00 1.917679877883758266e+00 1.293389866678319455e+00 8.962964680399021500e-01 2.180695948355363623e+00 -inf -inf
3.520347943345493724e-01 2.300176183643072580e-02 7.102139392371221716e-01 3.149817735384878414e+00 9.607386651820303269e-01 -6.485118004442526063e-01 -1.112325078340244300e+00 9.715676171386404825e-01 3.745900834453535388e+00 1.985544164087542640e+00 2.403597670310688272e+00 1.202923867456091589e+00 1.200583363621679611e+00 1.012530355562261564e+00 2.476867063710277428e+00 -inf -inf
3.531973642412293835e-01 2.216433822962697239e-02 6.476144848581979474e-01 2.838415292423916547e+00 9.650507906735328323e-01 1.033685262049062636e+00 -1.317456892127041090e+00 -1.185683518630726407e+00 7.607119773368953286e-01 -6.840674433849655678e+00 1.081278680544919268e+00 2.110716558977336010e+00 2.519791869307749010e+00 1.998151824775164176e+00 1.554601414763939538e+00 -inf -inf
3.335385844813835154e-01 2.255843827894178644e-02 6.168758165952025196e-01 3.138171085235896385e+00 9.663909137107319358e-01 1.872774974921167512e-01 -7.460856466081710048e-01 8.470509888724415681e-01 1.624395872630667537e+00 4.552536527285685253e+00 2.677700350566269094e+00 1.169464190826516425e+00 1.093075864236697115e+00 2.941074859875190128e+00 1.043230237086300916e+00 -inf -inf
3.317686140182053434e-01 2.165686343179677037e-02 6.793771358148898987e-01 3.143399926723967841e+00 9.666631094315638606e-01 4.430769575561495088e-01 -9.176954307010133371e-01 1.456282929988164110e+00 6.356568304790945589e+00 5.035369731202939292e+00 2.810109451115483381e+00 2.979754445897661697e+00 2.033769109949314036e+00 1.058265090500399630e+00 1.757737213429904521e+00 -inf -inf
3.415376321399132831e-01 2.259958841840149432e-02 6.492194360930310104e-01 3.078133011231313443e+00 9.628333816886183172e-01 -9.989399405769594509e-02 -1.399907795266797761e+00 1.949037408198440513e+00 7.877454175293170380e-01 -2.567945541238300322e+00 1.843187292336298411e+00 1.734978189354199785e+00 2.582873216041662534e+00 1.184120637605137638e+00 1.182305923490954758e+00 -inf -inf
3.461084087995590641e-01 2.252390737523699699e-02 6.652950628995535354e-01 3.008326374375116075e+00 9.661508933254309150e-01 -6.351733486674940865e-01 -9.451342818497491249e-01 1.517086797961392453e+00 3.622684938097925578e+00 4.841844233794986962e+00 2.220082147247056437e+00 2.384125070898840626e+00 1.010446016393471425e+00 9.621131701909229061e-01 2.571321934146070021e+00 -inf -inf
3.007232558707969017e-01 2.248438284468558257e-02 6.472642040719200907e-01 2.895092008519400739e+00 9.585556214382470186e-01 1.289404053212381385e+00 -1.218197224183038774e+00 -1.181839566718361212e-01 4.173483263150544964e+00 -3.533610252226013770e+00 2.193591438334193455e+00 2.961223616764925737e+00 9.878324866147076833e-01 1.952899870295266460e+00 2.876236154663141420e+00 -inf -inf
3.429081755418234012e-01 2.222747739184792112e-02 6.900052786624134571e-01 3.007542688702180111e+00 9.629257732783003121e-01 -1.171000470253982240e+00 2.659680285883931905e-01 1.345047427958135255e+00 7.869251158619642084e+00 4.674297765161025353e+00 2.381599772215206023e+00 1.379817261858900412e+00 2.630434085336541994e+00 2.907583553995952030e+00 8.286109609268762499e-01 -inf -inf
3.240537107372274406e-01 2.224721719239630344e-02 7.096292750039460140e-01 3.213016435836511864e+00 9.563008803612961239e-01 -1.150859708027254236e+00 1.337797179481915233e+00 1.516599424284388764e+00 1.617095269568834981e+00 -3.100933142624790140e+00 1.449941446874836615e+00 2.633203867057625214e+00 1.326729371757473297e+00 2.000313573005230161e+00 2.959406193607544644e+00 -inf -inf
