# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.560042087516016029e-01 2.226667738422374865e-02 6.869699990290100144e-01 3.190838337456873841e+00 9.590581760389278454e-01 -4.348513567417253256e+00 9.131086302591990389e+00 1.547302069077680642e+00 -inf -inf
3.535457820708102217e-01 2.217749671823382798e-02 7.207788455328788535e-01 3.076957019719475106e+00 9.634520888147628526e-01 -5.732159001612888716e+00 5.728577876756186349e+00 4.572700826772244653e+00 -inf -inf
2.802396068649833927e-01 2.228124345634944700e-02 6.977510112650555651e-01 2.843538454171255392e+00 9.655522127177084135e-01 -7.095780357395453208e+00 1.143813770569204458e+01 3.539767138962895743e+00 -7.706661302389713526e+08 -7.706661468212693930e+08
3.468199315558516127e-01 2.223466760514013554e-02 6.255772799430464604e-01 3.217378529090376915e+00 9.600901035626625557e-01 -8.959617555349312923e+00 9.720296253191625269e+00 5.228936948378544614e+00 -inf -inf
3.504779092690617492e-01 2.303826091674220436e-02 6.449544313528783324e-01 3.179364438634576739e+00 9.677983813894419640e-01 -3.710596248243037465e+00 3.269712157896298432e+00 -6.585965619909297075e+00 -inf -inf
2.962064666076381636e-01 2.181318911374039923e-02 7.161406711510847067e-01 3.152390579708382212e+00 9.548757590034604448e-01 -6.954644421162750056e+00 8.401722455252926380e+00 6.022469393942369464e+00 -1.435273035798074219e+13 -1.435273035799732422e+13
3.542160255457307838e-01 2.161651138422622867e-02 7.177400737592857238e-01 3.004376772781013116e+00 9.608727867435371550e-01 -3.596695821959318806e+00 3.154881827601808020e+00 -3.028664694296257842e+00 -inf -inf
3.297638924524498583e-01 2.255650196183454220e-02 6.175118900162755997e-01 2.910788830746684930e+00 9.611233346678702549e-01 -6.441473189763729401e+00 4.780609661898092000e+00 -4.555920274258956404e+00 -inf -inf
3.538026258681766789e-01 2.160097614710664374e-02 6.217126690546994627e-01 3.084519550255400144e+00 9.604260052986276497e-01 -3.751332817670840925e+00 3.797489087124876317e+00 -3.559407454266052984e+00 -inf -inf
3.486170973095251702e-01 2.349328984122336580e-02 7.128640842126922061e-01 3.014846152145810532e+00 9.528187821422811066e-01 -7.137455793548946659e+00 4.973449192391294460e+00 5.223257638667968550e+00 -1.432944599886534729e+11 -1.432944600052357788e+11
3.525615259047460981e-01 2.232436235143759815e-02 6.481439069085105364e-01 3.055368012094446417e+00 9.601422294180933514e-01 -5.223733035454764639e+00 5.862422611698933750e+00 -1.265839124678652894e+00 -inf -inf
3.565484917859341740e-01 2.225781690902281507e-02 6.158073382242081895e-01 3.083826572846078307e+00 9.640238863563364013e-01 -7.785615276867899226e+00 1.042311283222770157e+01 -5.216763312031803324e+00 -inf -inf
3.541344421956140742e-01 2.284715482929361788e-02 6.415533883446320473e-01 3.213635248808154099e+00 9.604472164988329119e-01 -5.070818103735200033e+00 9.541454149591221068e+00 2.102165590841087450e+00 -inf -inf
3.282293393517460300e-01 2.206010588081824125e-02 6.218526843627780742e-01 2.869511639671143310e+00 9.644143946459486916e-01 -5.916072595664298994e+00 8.448549751491194471e+00 -3.964272478604909722e+00 -inf -inf
3.582716549052200605e-01 2.217149208649355635e-02 7.180942520838338172e-01 3.082184882606485044e+00 9.691376474199515645e-01 -6.914169204474951869e+00 9.917221623734246982e-01 4.120707244316147211e+00 -inf -inf
3.380116811978296498e-01 2.209908841630191245e-02 6.321808598633633647e-01 3.180445797399396923e+00 9.628570643986911204e-01 -3.271598193919832198e+00 8.595447530015253079e+00 -4.248925740198712830e+00 -inf -inf
2.914318694330125803e-01 2.206387749198143733e-02 7.092992719633276488e-01 2.849639700095371708e+00 9.591645877409055165e-01 -7.198359639150587519e+00 1.139622195383208769e+01 5.798638668382256611e+00 -7.865430959337788086e+12 -7.865430959354370117e+12
3.410983065816206583e-01 2.178128156097895729e-02 6.208906194083526620e-01 3.214929339224920746e+00 9.598977243942331539e-01 -5.873221879776365562e+00 8.775797557259672033e+00 2.105824873699891242e+00 -inf -inf
2.854193890089891106e-01 2.200329923623344647e-02 7.138908871443098159e-01 3.056581628977906195e+00 9.607509682917988458e-01 -3.571614991667616756e+00 1.115651345263494854e+01 4.821918821588500492e+00 -inf -inf
3.228047019698117581e-01 2.263783463298696397e-02 6.935946208350211029e-01 3.168203107110924677e+00 9.627670047318481750e-01 -7.405077276164400146e+00 1.030852384561495505e+01 4.557589012168911324e+00 -1.214917605744689178e+11 -1.214917605910512085e+11
