# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          q1          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.410271619583722935e-01 2.201607791847321610e-02 6.946185685694143963e-01 2.903801735156742669e+00 9.672035045753195615e-01 1.315998661887655796e+00 7.619463570334916724e-02 -1.226311315591718021e+00 2.634661192930186413e+00 4.286190118114010517e+00 1.425612797450869218e+00 1.327827340981454718e+00 1.828400285096729583e+00 2.608385810683431671e+00 1.856699162859785757e+00 -inf -inf
2.967984060697572146e-01 2.236921235943837086e-02 6.779376798244384217e-01 3.178629570502841784e+00 9.691482952386762939e-01 9.608951628289861269e-01 -1.232757608339062116e+00 1.728029179693384876e+00 9.028162769361491868e+00 -2.304076443107009986e+00 2.097528894318357207e+00 2.491306854783835512e+00 1.167443314065809812e+00 1.524982806851247208e+00 1.559973615420513049e+00 -inf -inf
2.941467477349923865e-01 2.206657423124717965e-02 6.791355956405629168e-01 3.110595028890751124e+00 9.703042707324918137e-01 -4.362875560398948860e-01 -8.105943740722583168e-01 3.115313739943919025e-01 2.144430744845196468e+00 -5.836280071537090386e+00 1.687097435683621249e+00 2.520351066210435143e+00 1.541134744976861981e+00 1.309393705233348193e+00 2.995523655153609077e+00 -inf -inf
3.050648162999131663e-01 2.244343192289914232e-02 6.299978636679322008e-01 2.907984329206157792e+00 9.625996102310526714e-01 5.995025788349446216e-01 -1.013756053838402948e+00 -1.368802508802577034e+00 8.508897886105897257e+00 -5.443647559940559155e+00 1.750988491257224666e+00 1.709506180490583782e+00 1.619741223148821518e+00 2.900735526425482824e+00 1.159403564597687231e+00 -inf -inf
3.228501120413108105e-01 2.215240813302177605e-02 6.810414994099468489e-01 2.878775599113132078e+00 9.654616508342315218e-01 6.224524931742596578e-01 -9.739785449425376607e-01 -2.037019314628496502e-02 8.626561788181822621e+00 -2.806337336416246053e+00 1.305240785788681190e+00 1.231403314557348638e+00 9.781245864978105331e-01 2.360224733882314130e+00 2.177665751842402742e+00 -inf -inf
3.324149624718142348e-01 2.256395257389396183e-02 6.823245159594164555e-01 2.945177957566012417e+00 9.635514548117845024e-01 6.701101756910032847e-01 -8.166346004701463546e-01 -9.263604719439775259e-01 9.756755383690975947e+00 5.786106277153972854e+00 2.033550126080955422e+00 1.328062311534199402e+00 2.259625742723934128e+00 2.401884462117950925e+00 2.615517678198674201e+00 -inf -inf
2.982272044999464966e-01 2.194986356279614303e-02 6.292753019013745952e-01 3.172478097047819023e+00 9.601975320615007137e-01 -1.040536605069896758e+00 1.379611944218888553e+00 -3.076294889869291005e-01 1.182579284193836067e+01 -4.899963924903211421e+00 2.528882965659274618e+00 2.841535196831114440e+00 8.581286742856759631e-01 1.585917065391670100e+00 1.550151352832183083e+00 -inf -inf
3.006301420830936322e-01 2.203669326133916861e-02 6.681761355276463199e-01 2.945069241265986903e+00 9.573554978904786905e-01 5.585181752858545678e-01 -3.183440782696749238e-01 -1.593053288575881687e+00 1.819936564042572869e+00 -7.505966526436269604e-01 1.317802503815312942e+00 2.451899705848464173e+00 2.760420106118258055e+00 9.521759234210536160e-01 2.207588682779922706e+00 -inf -inf
2.811739040093166331e-01 2.293473653450117319e-02 6.524288419258825744e-01 2.841533934196373234e+00 9.608620771489453372e-01 -1.441265544788621122e+00 2.793099709253412666e-01 1.221037072684405977e+00 8.747029772755747778e-01 -2.413386143900980052e+00 2.582389628069719834e+00 9.477091953414688019e-01 1.688725269482309166e+00 1.762052147192706641e+00 1.301344464329017292e+00 -inf -inf
3.287654577822500257e-01 2.182871704968880611e-02 6.261390567100342253e-01 3.155445120071114662e+00 9.747216599450441166e-01 9.233597887949307470e-01 -8.339746498297784250e-01 1.486112663873598638e+00 3.203086750657542225e+00 4.736668744759402472e-01 2.232519116441712193e+00 1.806027914584301675e+00 2.300676403887910393e+00 1.447710500777416254e+00 1.850387790211128758e+00 -inf -inf
