# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
2.809296744954195013e-01 2.247775771827998856e-02 6.868524201653660732e-01 3.119896041764948613e+00 9.645123278436271708e-01 1.047697458992540742e+00 -1.480423680231384154e+00 3.552786346806228845e+00 2.458608755647194499e+00 1.835735458767300043e+00 2.630253433075763425e+00 2.010367434408233400e+00 1.661962936126638368e+00 1.885484332978371702e+00 -inf -inf
3.413541084005646264e-01 2.185582417448766676e-02 6.110336455452760607e-01 3.039415310810403614e+00 9.679082410632788847e-01 4.254776076239330518e-01 -3.066038641967683276e-01 1.011585005334560350e+01 -6.285349064238621608e+00 2.466990133023038378e+00 2.049476918592337604e+00 1.789221392664373411e+00 1.042016880643111154e+00 2.118855696551866785e+00 -inf -inf
3.590564658829832889e-01 2.265383047414961520e-02 6.635159390372146193e-01 3.096349755693022399e+00 9.689348939216541057e-01 1.235337463133446612e+00 -8.593578678915635427e-01 8.714011601247626970e+00 -6.874729643192356576e+00 1.170740150806856672e+00 1.615239291847876624e+00 2.603340495869828075e+00 8.980473754409443732e-01 2.874270394618653413e+00 -inf -inf
3.368324650316601998e-01 2.228708933677189807e-02 6.376442441367358160e-01 2.933686076159951028e+00 9.649132846785023476e-01 8.664161325031383143e-02 -1.231784182319449084e+00 1.056276289173319682e+01 -5.252601829895637842e+00 8.613880777867963801e-01 9.566662640572279885e-01 2.711110061507308266e+00 8.849145343150695009e-01 2.878961690039506749e+00 -inf -inf
3.036229466542221256e-01 2.266630196947050022e-02 6.771374155602724043e-01 3.077117358674041458e+00 9.662634899621168616e-01 6.495094346500867033e-01 -4.370887621276005053e-01 7.822923283221262736e+00 5.454950257495555732e+00 2.167320586389480219e+00 1.485811598098402575e+00 8.600772957932186769e-01 1.983218250006883565e+00 2.318733817697663291e+00 -1.228408308745218262e+12 -1.228408308786140869e+12
3.588323752502786124e-01 2.213767397849011886e-02 7.117627181662260494e-01 3.212370951679069719e+00 9.543839439308245964e-01 5.043808291443578895e-01 -1.512125532112564841e-01 3.839010700091109562e+00 2.148791362391627047e+00 1.600345311013942950e+00 2.211879517559149022e+00 1.518185975661971554e+00 2.352632474346139979e+00 2.700515040681167989e+00 -inf -inf
2.991734934736112184e-01 2.197346417758730755e-02 6.703058927528560140e-01 3.180344131688832121e+00 9.565929513732810419e-01 3.714441854419252564e-01 -1.198538138964784228e+00 3.690951492232452669e+00 5.523882353782601839e+00 2.786588133272657863e+00 1.384693580765912202e+00 2.059724081417670050e+00 2.963814175290249153e+00 1.269519311039246645e+00 -inf -inf
3.400796902911916164e-01 2.228343820091664707e-02 6.227776887336402556e-01 2.967804154667340821e+00 9.714632245018677281e-01 -4.062708365010272438e-01 -1.186257527967255143e+00 4.056132158643066532e+00 5.940701823695784256e+00 2.328577728468649966e+00 1.147252230676706120e+00 2.453994647975213272e+00 2.714742422808057665e+00 1.916422961709758344e+00 -inf -inf
3.423396978584531403e-01 2.198390746725819092e-02 6.104293056357638081e-01 2.960007899362580019e+00 9.688010308350767374e-01 7.022502897624773865e-01 1.474341334141701765e+00 1.715753855977507403e+00 5.018365272701927893e+00 8.828190766676256018e-01 1.957484928555053960e+00 1.541723195119191647e+00 2.476837537169463310e+00 1.846230490318762518e+00 -inf -inf
2.907810831578718225e-01 2.173488489949799291e-02 6.138001443261831280e-01 3.050465892353276143e+00 9.649196194492485334e-01 -1.464583180215264679e+00 -7.231418423615635360e-01 1.947951765366871868e+00 -5.252371947446969003e+00 2.361015567732852816e+00 1.875502554308074332e+00 2.159648517272750645e+00 2.450347384579478316e+00 1.013709693155519398e+00 -inf -inf
