# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          q1          a1_IA          eta1_IA        log_w   log_l
3.159242617779531304e-01 2.181763733332903188e-02 7.100174588464528425e-01 3.122281407229683392e+00 9.677257725476618999e-01 -9.797683179781310203e-01 -2.318101372375909186e-01 1.178366453448574269e+01 5.927864091424160264e+00 -3.625197177947054688e+13 -3.625197177948653125e+13
2.856577909950392402e-01 2.192898628492862684e-02 6.217475479820122608e-01 3.005281805607068701e+00 9.620984865364274885e-01 1.306134063581747995e+00 2.148227063865477682e-01 5.605770932803921802e-01 -6.471866031241179762e+00 -inf -inf
3.357970808599757828e-01 2.232308545631556812e-02 6.585744128031771893e-01 3.107719789045535030e+00 9.614226807776122818e-01 1.012547055801912954e+00 -1.171568011711106028e+00 4.741384423461092901e+00 -4.792681006316322545e+00 -inf -inf
3.345261709764719704e-01 2.238970386148795080e-02 7.058057593846497335e-01 2.963708315258016590e+00 9.584841213027025519e-01 -1.191961048019105185e+00 7.704228341416081705e-01 4.514862670519277921e-01 -5.674410339507549139e+00 -inf -inf
3.305921856318856378e-01 2.221177376279289545e-02 6.396687096262282379e-01 3.164278422474604557e+00 9.635530466359650825e-01 -1.124089894780287313e+00 1.858922838842310021e+00 1.649631352911519633e+00 -3.776728031214347858e+00 -inf -inf
3.016586593114382597e-01 2.183224603350144080e-02 6.632457461586818148e-01 3.081364764057596961e+00 9.651347726948433792e-01 7.900367783946569133e-01 6.162543688815098619e-01 8.076278895676660241e+00 2.359319690447438944e+00 -1.983240634350320697e+07 -1.983242232812559977e+07
3.328317133689548957e-01 2.191826545217892552e-02 6.179017195836237208e-01 3.053841306879808037e+00 9.615040739370083189e-01 1.037633775189515717e+00 5.489617485962794419e-01 6.532764684470953043e+00 5.799785690552200279e+00 -inf -inf
2.936903449884883943e-01 2.237544838412528631e-02 6.397728802924393943e-01 3.050571853600167582e+00 9.583944755840511087e-01 5.144528231392686557e-02 3.786068886570537195e-01 9.585908351992808107e+00 4.350045698701762831e+00 -9.347386735530426025e+09 -9.347386751515048981e+09
2.963916723294513500e-01 2.229743932910387832e-02 6.484381978567550497e-01 2.852735808274180940e+00 9.694101608012385407e-01 -1.371023960198434644e+00 -3.453198288444210284e-01 1.316505329016780523e+00 5.020981831782791005e+00 -inf -inf
2.815133012500660725e-01 2.194293818392022838e-02 6.423018349423159634e-01 2.834313973844871715e+00 9.683708308053006197e-01 6.338881264414197858e-01 8.905751958712637695e-01 7.285231542530571147e+00 4.498922816587681339e+00 -3.758133751717411041e+09 -3.758133767702033520e+09
3.155766760337833099e-01 2.343199496664125428e-02 6.160011623620889054e-01 2.956936778344532168e+00 9.620589597754499733e-01 -7.885993320213158242e-02 1.997452543444927286e+00 5.462712678849340087e+00 4.307892210184355974e+00 -8.430885927910981178e+08 -8.430886087757204771e+08
2.968257991658921902e-01 2.270798819862840032e-02 7.091020010642211657e-01 3.112351470494647110e+00 9.679404488086110758e-01 -1.479589190860203685e+00 1.827503199959447766e+00 1.906904249301847099e+00 5.253949791988713258e+00 -inf -inf
