# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.555951308642454345e-01 2.230701284686116212e-02 6.218114672292232026e-01 3.071125199377289228e+00 9.631759886465213194e-01 -1.455715929406970588e+00 3.352353299291396915e+00 -3.307467622998947920e+00 -inf -inf
3.589265302646372224e-01 2.253746553841109307e-02 7.153110986691857409e-01 2.833990697401273184e+00 9.661910488838572064e-01 -1.499782529404065645e+00 8.999330424031267484e+00 5.244559005991611400e-02 -inf -inf
3.111288038820229085e-01 2.177278840550127964e-02 6.822331242564023679e-01 2.993347125654557406e+00 9.567172066360959404e-01 -5.982651882334819593e-01 1.747342555436139921e+00 5.791185665905517865e+00 -6.587453693601564169e+08 -6.587453808942068815e+08
3.593985863124528612e-01 2.143698975507260865e-02 6.363405326022988362e-01 3.126546349983918560e+00 9.631100226725443081e-01 1.401733400390007489e+00 3.211452903385457969e+00 5.675788660686468035e+00 -inf -inf
3.501066479021723299e-01 2.296631369037124837e-02 6.308575682455122013e-01 2.847122630143112954e+00 9.599691168759667548e-01 1.114006068718532028e+00 3.835044043553976323e+00 -3.252482345021926236e+00 -inf -inf
3.000131914108389308e-01 2.240772627998442040e-02 6.105279791658738686e-01 3.072141059070569113e+00 9.618434676840550424e-01 1.236441925216813953e+00 8.920335173266231266e+00 -5.387287644627001271e+00 -inf -inf
3.010293455197121659e-01 2.263635243605593983e-02 6.742337625891761110e-01 3.085562508822378369e+00 9.628380805438336854e-01 -1.677704057157081152e-01 4.139473312677189654e+00 5.716734763768716476e+00 -1.429843862275682449e+10 -1.429843863429087448e+10
2.988916939057116307e-01 2.255646273337547081e-02 6.949732766714505905e-01 2.916080146551668140e+00 9.655759076473252600e-01 -6.861541168817835157e-01 4.580528134838764309e+00 3.232847766932410494e+00 -4.370706197456536815e+06 -4.370717731506999582e+06
2.971308821947049594e-01 2.219661413570904809e-02 6.506925709505881894e-01 2.894736185834942521e+00 9.578585050584234040e-01 -9.784159203743353350e-01 1.020824606096321396e+01 -2.171636067673016868e+00 -3.567468547729874990e+04 -3.568621952776239050e+04
3.381563638330233879e-01 2.217411480172008786e-02 6.885296333634420840e-01 2.860188550214560976e+00 9.615532632981357297e-01 1.394765272786340660e+00 6.621524636302016376e+00 2.075245634633354541e+00 -inf -inf
3.434471102937084463e-01 2.196930874434736836e-02 6.407716484864610651e-01 3.201885699330405011e+00 9.556436829813628187e-01 1.410385158075065259e+00 1.053860370649926637e+01 3.675860392861864057e+00 -inf -inf
3.397963276941096122e-01 2.173387514459635544e-02 7.180130992864253159e-01 3.012097127639152827e+00 9.566463840129539875e-01 -8.912226637107122373e-01 7.462189165966618631e+00 1.087136072041881008e+00 -5.932841930414583767e+05 -5.932957270919220755e+05
3.083408180379239028e-01 2.249683099821652571e-02 6.198911126481972955e-01 3.186252851277654230e+00 9.648274365726963175e-01 1.474939556041857003e+00 1.141258138881057427e+01 3.645499691797207120e-01 -inf -inf
3.071709361372618186e-01 2.158746021124430606e-02 6.235061204320786477e-01 3.191494362632963266e+00 9.567156350567942447e-01 -7.736075749180095773e-01 7.495348670940790825e+00 4.371811354850001052e+00 -1.811811921699307442e+09 -1.811811933233357906e+09
