# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.305985614460523192e-01 2.233172278119720591e-02 6.880015750047281387e-01 2.884700626306296201e+00 9.613632184507945322e-01 1.271080646714196849e+00 1.127764218761494774e+01 2.916112613050051650e+00 -inf -inf
3.311010801397520908e-01 2.266269647076194632e-02 6.234471500250046150e-01 3.055996516419882347e+00 9.649669763319602689e-01 -6.776812916787341434e-01 8.409576575753796135e+00 3.774109543753329632e+00 -7.911147280974874496e+08 -7.911147412910249233e+08
3.418516610698213443e-01 2.243423630298118157e-02 6.739225524507546083e-01 3.104068063880947026e+00 9.696642708899760876e-01 -1.241840312608676111e+00 1.071071831148092812e+01 -5.495810846781824743e+00 -inf -inf
2.923872908325549913e-01 2.233129991578650803e-02 6.217615168061183528e-01 3.125085932713809189e+00 9.658208577465006162e-01 -1.244803808051239802e+00 7.925127423508418367e+00 -6.154594756675589196e+00 -inf -inf
2.839625450696225961e-01 2.234135337709712912e-02 6.707947233513034124e-01 2.979995625154137517e+00 9.527376305362237341e-01 -1.273828894601497730e+00 5.274773459163482947e+00 -4.029904999695937740e+00 -inf -inf
3.230675534186143172e-01 2.193168819676722184e-02 6.980419365326248071e-01 3.216843658843834053e+00 9.632674285531055425e-01 -1.243372990279466350e+00 5.597944846046319256e+00 -1.689140522617304185e+00 -inf -inf
3.230705991877158567e-01 2.261880354992632305e-02 6.788343363210627146e-01 3.094159617104351945e+00 9.650507556187980507e-01 9.401991446354029947e-01 1.181379817491147755e+01 -5.456924441412907001e+00 -2.234029167376077021e+04 -2.235348521126615378e+04
3.159881688948312228e-01 2.083511713200206575e-02 6.177854134130693620e-01 3.122626463637531380e+00 9.650681320405269936e-01 4.405926063511560464e-01 3.795882649301216105e+00 5.303794265264766494e+00 -8.613237361961481094e+09 -8.613237375155017853e+09
3.155044896894140249e-01 2.244057455140919741e-02 6.303733380112355178e-01 3.021487117205490680e+00 9.602607288851745526e-01 1.019474118398595142e+00 6.861013847224485929e+00 5.034418720752199761e+00 -inf -inf
3.283123805328846401e-01 2.203202904040778634e-02 6.716423822123070986e-01 3.000221971246564756e+00 9.632551213400872836e-01 -1.320114695387074377e+00 1.017503341618772339e+01 -6.390720027978577633e+00 -inf -inf
2.961329802115205134e-01 2.236125669932029908e-02 7.056860101403010788e-01 3.149980107367502669e+00 9.628146253306216762e-01 -1.419597001646674794e+00 2.243008894145562593e+00 3.830710991527750409e+00 -inf -inf
3.267667115121051236e-01 2.229958562077528558e-02 6.331347944292268215e-01 2.877505175346763977e+00 9.588565504572256204e-01 -1.107231723545402780e+00 1.033611441417970767e+01 -1.624478870321793167e+00 -inf -inf
3.157096781643305983e-01 2.194709165787975605e-02 7.158570586761738852e-01 3.082467888751004637e+00 9.547926802982660277e-01 1.083284753201911421e+00 9.523901982990611970e+00 -3.231095605197335185e+00 -inf -inf
3.159364174647814050e-01 2.241994714981931577e-02 6.223437726502731859e-01 2.909449261024583677e+00 9.520891957286772289e-01 -1.498894695363511165e+00 9.270917726250454294e+00 3.712682342654776591e+00 -inf -inf
