# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.030753497150129872e-01 2.218585102983637244e-02 7.252605641351391741e-01 3.037059642555054229e+00 9.668729616040087071e-01 -1.375129204496026158e+00 1.068574993717424348e+01 1.795981063175679182e+00 -inf -inf
3.166619783991241888e-01 2.272943337103256953e-02 6.726114110277425784e-01 2.864953095047786391e+00 9.654798722610323791e-01 6.490876752751151280e-02 2.764249405497278822e+00 4.948397593424274987e+00 -7.555507889206091166e+08 -7.555508012392833233e+08
3.172476237391665399e-01 2.285140650294848266e-02 7.084184850440221615e-01 3.210941167967511056e+00 9.589947009770741770e-01 -4.573790964429003125e-01 2.194105770836299207e+00 5.435479090659649515e+00 -3.266087654358505249e+09 -3.266087666677179813e+09
3.062731183015406922e-01 2.207388964542749896e-02 6.847287962543829876e-01 3.006623127245974914e+00 9.652538014134186550e-01 -1.119861808993686925e+00 1.963981966536098245e+00 4.029970850659298165e+00 -inf -inf
2.897667587327669714e-01 2.233290888375398867e-02 6.883565241642537469e-01 2.895828156345968019e+00 9.681573409397209451e-01 -1.497902307547252843e+00 2.689611082526513819e+00 3.542366526933049542e-01 -inf -inf
3.133879517363120093e-01 2.263073437680599223e-02 6.352530413819361677e-01 3.055859350914425843e+00 9.585740772529866005e-01 -1.180402123895829103e+00 6.778898076974167353e+00 -6.070820867938737209e+00 -inf -inf
2.971395665866643498e-01 2.210610205026952713e-02 6.203076164370769918e-01 3.024798242247337399e+00 9.577057356775416919e-01 1.491607239756586267e+00 6.779035716890964736e+00 -3.629617106036279850e+00 -inf -inf
2.899384505821503422e-01 2.229125832567566481e-02 6.508833880182168796e-01 2.913962945440280450e+00 9.636255045182040568e-01 -1.052267745384811271e+00 1.201819636485118892e+01 8.893346365157093203e-01 -inf -inf
3.507086457204564578e-01 2.238027155550705027e-02 6.954603927229500160e-01 2.877708760017982481e+00 9.693756235843596913e-01 -1.062518587098473244e+00 8.952433668778464693e+00 4.299056126226428631e+00 -inf -inf
3.492974013457029181e-01 2.265219210740798683e-02 7.087786787498112639e-01 3.022158833873242134e+00 9.624359832121580638e-01 1.237301442810326169e+00 1.156616786887516035e+01 1.595082214894985029e-01 -inf -inf
3.082333717778560356e-01 2.239140830116969835e-02 6.811366745956699553e-01 2.853397887485687345e+00 9.631395445716448567e-01 1.347938490846450676e+00 7.842249026173834459e+00 6.075266359651642745e+00 -inf -inf
3.599173638906734696e-01 2.341204799784313631e-02 6.568772636216773098e-01 2.848100190204766680e+00 9.588813384876735402e-01 1.476280256146883740e+00 1.250931479148239100e+00 -2.238243181682566529e-01 -inf -inf
3.030205742732055008e-01 2.241306250228912098e-02 6.738303166759243013e-01 2.900460730118059161e+00 9.679422328252270669e-01 1.385919855824504499e+00 6.329326012575729798e+00 1.173541819622974103e+00 -inf -inf
3.147023332147529939e-01 2.232376167290358454e-02 6.364328030029525740e-01 2.985683001941012993e+00 9.617541650701038058e-01 1.067367992992667602e+00 1.062101887934010414e+01 -6.487300352059639508e-01 -inf -inf
3.374064891608481442e-01 2.245439381294988060e-02 7.065980552919992608e-01 3.055568998516140944e+00 9.622965649988516335e-01 -1.068946468233050284e+00 3.713887521783852730e+00 5.810324076241213831e+00 -inf -inf
