# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.479747909702104458e-01 2.172032015080697584e-02 7.145693748229848818e-01 2.864915384620967842e+00 9.645541390561156447e-01 -1.380277693189084776e+00 8.011431733716602110e+00 3.196867026376102316e+00 -9.546262127784501016e+07 -9.546263290200538933e+07
3.440318665237175333e-01 2.228867294590889878e-02 6.122544974914178040e-01 2.974839711992097513e+00 9.625721892108372035e-01 -1.339430226651563416e-01 4.347791035819145833e+00 5.599051032312676313e+00 -4.184763902388819885e+10 -4.184763903551235962e+10
3.091614814645845533e-01 2.196132777283340068e-02 6.802408409577462844e-01 3.181728827508263358e+00 9.623129749166730029e-01 -1.137973669431429080e+00 3.939515532194846514e+00 5.230844228654046191e+00 -1.987800076426418543e+09 -1.987800088050578833e+09
2.837523425878784589e-01 2.279688622312855614e-02 6.268839289119164659e-01 3.009937817551458838e+00 9.601943300665333192e-01 -5.338440637254509014e-01 6.734297724528357953e+00 -8.311701422797570515e-01 -2.532870845150609603e+04 -2.534033261188499091e+04
3.127262530390833017e-01 2.281113683693397620e-02 6.189421232942089457e-01 3.008168078965354209e+00 9.569869977481705314e-01 1.356603830822776136e+00 8.467816020426104373e+00 3.784582715248708595e+00 -6.993148460703400373e+08 -6.993148576945004463e+08
2.862772836269953380e-01 2.286877536487564450e-02 6.486481047853318582e-01 2.874589353493309130e+00 9.545701259781488313e-01 -8.647214899633381968e-02 8.082785463482679233e+00 -1.408565512810461051e+00 -3.037103021605051617e+04 -3.038265437642941106e+04
3.393070274282239396e-01 2.201233244337480813e-02 7.257567584908319880e-01 3.066812975395324603e+00 9.617675356761619110e-01 1.398456388234950776e+00 4.231834113113404072e+00 5.959402095172015024e-01 -1.895926152653751487e+05 -1.896042394257540291e+05
2.997010055803393525e-01 2.181543295364820126e-02 6.988508284461215636e-01 3.147085804811142751e+00 9.653058984591829095e-01 1.198674856836270397e+00 1.167252718754692076e+01 -2.478316099381392412e+00 -1.268655489967065514e+05 -1.268771731570854463e+05
2.823780467882486267e-01 2.200141866566394933e-02 6.328372324738672505e-01 3.084389938116866681e+00 9.657163238119274018e-01 -4.714040716952629939e-01 8.409171118799029898e+00 1.871587258531384634e+00 -1.008662712913365336e+06 -1.008674337073744275e+06
3.546915720820859041e-01 2.279211100091212139e-02 6.626082891621604132e-01 2.949924600497705995e+00 9.629525134718578405e-01 4.299143037248844834e-01 4.766232822225519250e+00 2.838484613770846821e+00 -8.061760104053813033e+06 -8.061771728214192204e+06
3.180416674423252599e-01 2.228405207698172519e-02 6.129776875872448016e-01 3.208629034145210834e+00 9.611935563638327462e-01 3.428730603187850612e-01 8.762026091538908545e+00 -1.859377512586498860e+00 -4.820074879320938635e+04 -4.821237295358828123e+04
3.232107985596508470e-01 2.226892004534463190e-02 6.463032141922468998e-01 3.072531340711705194e+00 9.682438502969306082e-01 1.371660259720614228e+00 6.816641473550881791e+00 3.637728877774602410e+00 -4.211209837223948240e+08 -4.211209953465552330e+08
