# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.599887786077593521e-01 2.203785341222821298e-02 7.138103980274399518e-01 3.076374015259855099e+00 9.673996745727777569e-01 7.815036687962968465e-01 9.917765245223545634e+00 -5.116464531926666837e+00 -inf -inf
2.954123683448247606e-01 2.242639673536420131e-02 6.622622393478868608e-01 3.136256322300937427e+00 9.620709149854496101e-01 -9.092018321547447046e-01 1.112501368776011823e+01 1.854361616625954667e-02 -2.862013857076377026e+05 -2.862157427547163097e+05
3.427374011014115984e-01 2.196422955972849797e-02 6.499199586420011387e-01 3.088464047021993064e+00 9.624208913247496167e-01 6.850620019868802757e-02 1.179722551246184992e+01 -2.279972045712441719e+00 -1.266972725008085690e+05 -1.267116295478872053e+05
3.518454287601084363e-01 2.198300612296765974e-02 6.119611578979545774e-01 3.189343595686611188e+00 9.703834702085717412e-01 -1.231362776821092408e+00 7.621073516994372188e-01 -4.522985633508097791e+00 -5.369917101583252588e+03 -5.384274148661898835e+03
3.006564163934017375e-01 2.210148407804739257e-02 7.022217191686219717e-01 3.084444457683892082e+00 9.703371883029469069e-01 -6.568858007818776379e-01 1.099085779172277100e+01 2.781701137902699017e+00 -9.371406661452202499e+07 -9.371408097156910598e+07
3.364983584267057792e-01 2.183536406629651982e-02 6.657708697403543763e-01 3.150896939019191656e+00 9.648408165493868038e-01 3.897785334819623415e-01 6.628632434911633453e+00 -2.392331033868950740e-01 -1.532050801484574040e+05 -1.532194371955360693e+05
3.565223435359407556e-01 2.290332296896748637e-02 6.691925348216729574e-01 2.840731007193905366e+00 9.603351282954486479e-01 -1.278666403986176814e+00 1.174146776770491840e+01 4.891219571957847734e+00 -8.697189111985665894e+10 -8.697189113421371460e+10
3.276028739287520919e-01 2.319548596553837327e-02 6.419489841859257195e-01 3.117971742766450838e+00 9.611361988846658377e-01 3.200406973395151233e-01 8.652414660042342831e+00 -6.122567536817173917e-01 -1.627012475239460473e+05 -1.627156045710247126e+05
3.559667535607543565e-01 2.188291409787395531e-02 6.762070709495603404e-01 3.120610599310629230e+00 9.637883592917422249e-01 1.186032492282276252e-01 7.196054496498359931e+00 4.819576537080566325e+00 -3.433300630118041611e+10 -3.433300631553746414e+10
2.920634094542203241e-01 2.171337661865539032e-02 6.811448277344509528e-01 2.966134589875676131e+00 9.632539082024574872e-01 -4.360672694003775440e-01 1.112496011700335963e+01 1.807508143484916729e+00 -5.145141639971460216e+06 -5.145155997018539347e+06
3.130847787478310273e-01 2.213408367292820159e-02 6.824966367250621113e-01 2.982265730747887034e+00 9.607610514616037323e-01 4.874825946018952472e-01 6.228341182551430322e+00 4.129458480340691295e+00 -6.587736268516923189e+08 -6.587736412087393999e+08
3.058803617840807898e-01 2.148945893887669462e-02 7.072451947385056670e-01 2.907462664144572440e+00 9.546162727820556304e-01 -1.322234656178397305e+00 4.001840928275040454e+00 3.512060425516230211e+00 -7.782404610836191103e+06 -7.782418967883270234e+06
3.343371651685156931e-01 2.267802099802259871e-02 6.601351163709344716e-01 2.981446909271242340e+00 9.632340933317462550e-01 -7.100324809329756626e-01 7.376962387881199845e+00 4.653304841616348497e+00 -5.725277116745768547e+09 -5.725277131102815628e+09
3.098905985237082605e-01 2.222839999440085271e-02 6.881867076580334697e-01 2.878147960540508699e+00 9.663450968764034643e-01 1.377267745881164629e+00 7.779340964096464361e+00 3.438964491057799222e+00 -2.952040657460862398e+08 -2.952040801031333208e+08
2.959939056229725640e-01 2.222221631538807279e-02 6.888170259042188937e-01 2.967648866026356469e+00 9.607328712920288893e-01 -1.358732955218709293e+00 5.611558033929458844e+00 4.698632413782199535e+00 -8.149853189891171455e+08 -8.149853333461642265e+08
3.373798383599107553e-01 2.230176670515992068e-02 6.379128511249626543e-01 3.115936626311214042e+00 9.588313091200828531e-01 -8.309260448799251630e-01 1.122458086970304869e+01 2.653894546967560331e+00 -8.746328259268175066e+07 -8.746329694972883165e+07
3.365923926008033140e-01 2.210538137951768498e-02 6.876041605537880352e-01 3.007165750135256665e+00 9.705201274525447896e-01 -4.002795929809441766e-01 1.035014276371551034e+01 2.057723022597718554e+00 -2.151514237738501281e+07 -2.151515673443209380e+07
3.518702535271478471e-01 2.277243747731108950e-02 7.138824519428238480e-01 2.936637154743409361e+00 9.606005494383402787e-01 -1.208623298737350860e+00 7.754702374134438969e+00 -1.908977766559116773e-01 -1.591071305558338936e+05 -1.591214876029125589e+05
2.952677238410558735e-01 2.200738712046831913e-02 6.486296785559181322e-01 3.110655442556167216e+00 9.601336880452199241e-01 7.820393936952543257e-01 2.547433001612576575e+00 3.374182019717594017e+00 -2.159042160366302356e+06 -2.159056517413381021e+06
3.379732523111204090e-01 2.226606796146617800e-02 6.723710602692314353e-01 3.199358149386601458e+00 9.620206766538527132e-01 1.496546120158601667e-01 1.148023057476630626e+01 1.146758312684195147e+00 -7.989720246966258623e+06 -7.989734604013337754e+06
3.045972979098529043e-01 2.243828545322318346e-02 7.294542110767008314e-01 3.053030608123596501e+00 9.609896712477704606e-01 -3.049059841326884346e-02 8.990056814056895718e+00 -1.263752644283263393e+00 -1.019224776628266409e+05 -1.019368347099052771e+05
3.407052597008032868e-01 2.270035884266417836e-02 6.443280528867263435e-01 2.933205400279711661e+00 9.630866805536280051e-01 1.010489522202338009e+00 1.024178091175053673e+01 3.434603823249393173e+00 -1.000613320047948241e+09 -1.000613334404995322e+09
2.988000681237277800e-01 2.195500035351334589e-02 6.516909612860053436e-01 3.126722426424299428e+00 9.590584743526675560e-01 -1.179157699835457596e+00 6.159921969543272979e+00 3.120140249898263107e+00 -1.213359959743551537e+07 -1.213361395448259264e+07
3.127517878845260113e-01 2.204090718542480939e-02 7.064678568314769480e-01 3.001030317698145211e+00 9.607949278034516594e-01 1.342573099538956427e+00 8.527492912965401572e+00 1.723175568989224971e+00 -7.480175601526177488e+06 -7.480189958573256619e+06
2.864922896610363479e-01 2.238236786627224167e-02 7.263921871486056503e-01 2.881579932908108432e+00 9.604336437023420769e-01 1.391024119972260387e+00 7.869496216130154487e+00 6.097327513350718320e+00 -3.559578395712522461e+12 -3.559578395726879395e+12
3.117794072719434206e-01 2.200491686062496996e-02 7.266447563943092547e-01 3.119066583293235162e+00 9.670309833728490956e-01 -2.955639293612319918e-01 3.602227300166640056e+00 1.329654194155988733e+00 -1.196477954896053125e+05 -1.196621525366839487e+05
3.464172099246780046e-01 2.226377261937714097e-02 6.283674698638973544e-01 2.962436467663314588e+00 9.600308028031431240e-01 -5.125269598710451291e-01 6.713190914525501540e+00 2.266686023396857763e+00 -4.167664905021930579e+06 -4.167679262069009244e+06
3.572618184753115766e-01 2.216221149823826772e-02 6.182515852668627465e-01 3.202125974203684944e+00 9.638054346756491642e-01 7.454122016501054659e-01 2.529615411995066232e+00 5.075025143179612286e+00 -1.454406950563846111e+09 -1.454406964920893192e+09
3.086130232795009642e-01 2.172952461795764345e-02 6.224114967378948649e-01 3.090497720697491069e+00 9.663227777282102915e-01 -2.338158900656688299e-01 5.306607570792735373e+00 4.910937528532306473e+00 -6.600712956656354904e+09 -6.600712971013401985e+09
3.094537669664769175e-01 2.255214811972976185e-02 6.850174260845407481e-01 3.118832457412248793e+00 9.679709620592034103e-01 1.442726383850937211e+00 8.497014580444004039e+00 3.933422509470890560e+00 -2.262639491632427692e+09 -2.262639505989474773e+09
3.153715008632746453e-01 2.226220892791479916e-02 7.099682423819746457e-01 3.066537726842353706e+00 9.575458627987112337e-01 1.746799650418990879e-01 7.233185850713708120e+00 4.821469558989042170e+00 -1.663743977838051605e+10 -1.663743979273756218e+10
2.932013834616894465e-01 2.184960987816009573e-02 7.025302325090938549e-01 3.066998620765828854e+00 9.625807036886654400e-01 -5.623895901583666479e-01 8.999124715200782276e+00 -1.224502792456773292e+00 -7.532025072770364932e+04 -7.533460777478228556e+04
3.334827060041372082e-01 2.236141506124716960e-02 6.580429982655783272e-01 2.852832773836754932e+00 9.612854616906398864e-01 3.518118859971850476e-01 7.252226142994321556e+00 7.405198334728613219e-01 -3.397307798991917516e+05 -3.397451369462703587e+05
3.189330994835207767e-01 2.254795661501010282e-02 6.550405971276470618e-01 2.888888785222099465e+00 9.534277961171848670e-01 -1.114535796205046836e+00 1.028760421396592406e+01 3.333935603608555454e+00 -2.139645226769081652e+08 -2.139645370339552462e+08
2.973668731332248516e-01 2.228054352002158817e-02 6.150585830126065190e-01 3.190465970627714309e+00 9.644356336373677285e-01 7.885459796277474176e-01 8.104432128903884092e+00 1.847370675191838174e+00 -2.907246421552890912e+06 -2.907260778599969577e+06
