# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.336910166044797510e-01 2.222268621420046483e-02 7.229519866673410622e-01 3.091980043789464894e+00 9.579048953035496083e-01 -9.547389193089948378e+00 9.282244782774597525e+00 -6.300303851906003061e+00 -inf -inf
2.974798686927974112e-01 2.230401268721393312e-02 6.375499962764351602e-01 3.037392671886797402e+00 9.607503583380091472e-01 -7.095925618719565620e+00 1.056507932827160268e+01 2.461954266367277100e+00 -inf -inf
2.813014902410592155e-01 2.231899225520542554e-02 7.274718703177354140e-01 3.180236092479632237e+00 9.679913200591148126e-01 -7.622928207153064406e+00 4.937100423772451840e+00 -5.680859092208653038e+00 -inf -inf
3.434362779450226277e-01 2.152610357730669333e-02 6.454631389484039028e-01 2.907402034844747796e+00 9.697541047174470519e-01 -7.791753248265417042e+00 1.085696140183612712e+01 -6.187523050971863725e-01 -inf -inf
3.250187265377126322e-01 2.188078319579249073e-02 6.211147133169443446e-01 2.845991155462426203e+00 9.590160739479873797e-01 -7.484491632531938166e+00 9.654056711314400019e+00 2.610707593329177456e+00 -inf -inf
3.160572580671910936e-01 2.203515540348371590e-02 7.253238726972386363e-01 3.158174773966706539e+00 9.622974762906190138e-01 -9.879165805203907524e+00 5.718374874596405810e+00 -6.845080511540180268e-01 -inf -inf
2.935707752975919571e-01 2.204953341575058984e-02 7.064182320464000853e-01 3.147619928815550860e+00 9.592542667546289925e-01 -8.974597954690638701e+00 3.905416351248662821e+00 1.014440090606457900e+00 -inf -inf
3.291988038392085758e-01 2.249593851959331287e-02 6.557481879205920849e-01 2.890140988156812085e+00 9.584761248303035330e-01 -3.707282674235039543e+00 1.839512318718972361e+00 -4.528725055895352902e+00 -inf -inf
3.573669573944470712e-01 2.227820583767117779e-02 6.537946460208079458e-01 2.987256089053106134e+00 9.645271322530760694e-01 -9.571224583198992164e+00 6.512795769160003800e+00 -2.994582916707513753e+00 -inf -inf
3.508785120395013779e-01 2.225565583579888068e-02 6.333507813225117689e-01 2.983434543894389002e+00 9.621984307106795642e-01 -8.808580759877081334e+00 3.986487956961712875e+00 1.900412245727524763e+00 -inf -inf
3.291391543956387333e-01 2.210310952472130386e-02 7.045978596230410007e-01 3.046324023902017508e+00 9.646519308564285300e-01 -8.461582209299187696e+00 1.089494399719411177e+01 1.158685791247858532e+00 -inf -inf
3.137338714943879170e-01 2.220070104758753438e-02 6.503483791195172614e-01 2.908404722449795976e+00 9.644702053322325996e-01 -3.142503654058662832e+00 8.189943461483855103e+00 5.285655484932631154e+00 -inf -inf
2.921880531659266089e-01 2.238208466257094603e-02 6.556648130014326448e-01 3.156304570689777211e+00 9.628142768638147109e-01 -3.634977830889606132e+00 1.135173414939432845e+01 -3.727524467035109090e+00 -inf -inf
3.081343832800166327e-01 2.223107683309064053e-02 7.108668412429605121e-01 2.917041424853504150e+00 9.635854673387821423e-01 -9.210246020579246462e+00 3.514194722008709526e+00 -6.561965407398694161e+00 -inf -inf
2.807962064028456939e-01 2.239776056766493509e-02 6.161414329667136425e-01 2.900502604038320165e+00 9.651012179227936860e-01 -3.728116939506774585e+00 5.341581746287170418e+00 -4.399113249690866922e-01 -inf -inf
3.338033671808771086e-01 2.253928730493705290e-02 6.757221713872583191e-01 2.945394283012174874e+00 9.595188336512314731e-01 -8.180677949857141584e+00 4.546622272566963829e+00 4.345032605129734549e+00 -inf -inf
2.939074220196080112e-01 2.216702505162539139e-02 6.342889162992534358e-01 2.845182285399995958e+00 9.640561034968093690e-01 -3.395125305374824265e+00 8.709460681571947305e+00 -3.074093508085327109e+00 -inf -inf
3.456685366420819694e-01 2.220912882809715147e-02 6.294311037066074865e-01 3.095188584496798789e+00 9.608495940652248546e-01 -9.960307557210565932e+00 1.087907709156578839e+01 5.528942157922642764e-01 -inf -inf
3.032049500482035254e-01 2.241999250650356795e-02 6.862623093609574454e-01 2.941572452202644072e+00 9.590092466022589468e-01 -4.043801745639652445e+00 5.837612463000223961e+00 -6.090073574075738350e-02 -8.953372955196353723e+04 -8.954677535041264491e+04
2.852683129462807998e-01 2.201558917683823016e-02 7.103568182063996206e-01 2.865707466659008773e+00 9.661971735803148720e-01 -6.809312659901936016e+00 5.237376878812675329e+00 4.380368480858562563e+00 -3.800613577127259374e+08 -3.800613707585244179e+08
2.850417667728172288e-01 2.233997255394151032e-02 6.229902057930544190e-01 2.860929736522716205e+00 9.608049378003905572e-01 -7.520918496645724538e+00 7.548604080788612336e+00 3.500190652177836981e+00 -inf -inf
3.288369989035749286e-01 2.211014387858665706e-02 6.784927983386309647e-01 2.836742762779655980e+00 9.712902864106811585e-01 -3.009655047095686875e+00 1.183330291852613314e+01 -4.043950870151062027e+00 -inf -inf
3.003244710415284846e-01 2.312281052023425904e-02 6.278309338525084327e-01 3.056091423056284562e+00 9.606611886813722911e-01 -7.254574693682833697e+00 7.097955748877093463e+00 7.768603279838224296e-01 -inf -inf
