# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.510482833841993000e-01 2.209244724645408053e-02 6.519357604259025107e-01 2.934501184220151604e+00 9.657462500194409216e-01 -9.860196863391997857e-01 1.027007681933274341e+01 -1.213405955814309323e+00 -1.127964261274009477e+05 -1.128097803456339752e+05
3.050616101588647933e-01 2.170662781703627808e-02 7.122266390671191383e-01 2.885207962582144070e+00 9.605568919630964597e-01 4.771144626971870473e-01 9.628772380655295393e+00 -6.216992265685830077e-01 -1.787157616633248108e+05 -1.787291158815578383e+05
3.367948999620948847e-01 2.261602386265353787e-02 6.189317641363113465e-01 2.862859005271984003e+00 9.643103672188598763e-01 -5.259703754487302652e-01 4.923123034378558138e-01 6.066097867371794905e+00 -2.968198879829352349e+07 -2.968200215251175687e+07
3.273026039404732246e-01 2.247656304317908332e-02 6.887827028693611631e-01 2.893556241343669733e+00 9.584763132909583927e-01 1.221530238932840184e+00 9.247102589131479533e+00 2.727781260636300331e+00 -1.092915036108395606e+08 -1.092915169650577903e+08
3.303064625815614885e-01 2.228497503344088054e-02 6.554687120035476156e-01 2.849005051719062820e+00 9.573746362546629030e-01 -1.278808384534447784e+00 9.834344729479241209e+00 5.933878937368994855e+00 -2.290466635904309570e+12 -2.290466635917664062e+12
2.955359598017615608e-01 2.209566791661447122e-02 6.967900750398530185e-01 3.110993986139408030e+00 9.651848611966672431e-01 -7.123118892146685921e-01 1.043002591713507066e+01 3.352256185601964589e+00 -2.903769935733322501e+08 -2.903770069275504947e+08
3.568725313509649721e-01 2.239512633816048010e-02 6.363960769566923137e-01 3.212312844494819686e+00 9.638533042552502872e-01 2.296354529664006439e-01 9.931021167567752883e+00 -2.580968547173636551e-01 -5.910364270306774415e+05 -5.910497812489104690e+05
2.947076957685659249e-01 2.228762859649750100e-02 6.156294784679171572e-01 3.214609842074852342e+00 9.677654116990588307e-01 -1.174983896433765107e+00 1.108928658574761883e+01 5.965761819683457645e+00 -2.480454868666392090e+12 -2.480454868679746582e+12
3.189018206754213325e-01 2.211922525733936093e-02 6.227715256721134685e-01 2.836208900170325453e+00 9.601439592680056645e-01 1.296542611458976424e+00 1.198519011627378283e+01 -3.835511911002163377e+00 -4.470650368215496565e+04 -4.471985790038800042e+04
3.558535043443484813e-01 2.172017589396671444e-02 7.053108371171680213e-01 3.094645376672471748e+00 9.623862250473371738e-01 8.883914350657509118e-01 1.098985203253233145e+01 1.434646298679368215e+00 -2.411664499797333032e+07 -2.411665835219156370e+07
3.037537244656235980e-01 2.230546536503080768e-02 6.181762965802277687e-01 3.182745704110222729e+00 9.628722423738220737e-01 -3.752639593170403742e-03 1.150168477380912790e+01 5.951785035285308112e+00 -6.214233766061166992e+12 -6.214233766074521484e+12
3.490259124541236213e-01 2.241797741324667512e-02 6.557503996795396306e-01 3.088847418461335703e+00 9.665509666251189680e-01 2.431305799149177105e-01 6.303697726033230531e+00 4.293736807789803933e+00 -1.929033050468779087e+09 -1.929033063822997332e+09
2.995107387006200605e-01 2.256784864501272525e-02 6.896927395318592779e-01 2.881085411395154505e+00 9.644502242488340871e-01 8.612508382536963047e-01 1.181847837132820622e+01 5.499737795167991550e-02 -6.036626179446203168e+05 -6.036759721628533443e+05
