# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.583794571203202661e-01 2.203566741832571965e-02 6.971182306027757791e-01 3.122492169873351653e+00 9.672684356043330656e-01 -3.452262528841808731e+00 1.706063559061273160e+00 -2.488647882473817852e+00 -inf -inf
2.970344376899249350e-01 2.267041009601942700e-02 6.433668556730421928e-01 3.060466333987245324e+00 9.617179096567455288e-01 -7.867117736088947488e+00 1.818496310782870662e+00 -6.048898709110011040e+00 -inf -inf
3.086686777545978866e-01 2.174489483914923693e-02 7.144629061878078335e-01 3.144668123846499519e+00 9.624323246736883330e-01 -7.898466347907376672e+00 1.195139767863171443e+01 -4.478576877565396686e+00 -inf -inf
2.903429382157388661e-01 2.172491390162108876e-02 7.095718793381540213e-01 2.842722672437268727e+00 9.651214954585666250e-01 -7.631248931773617628e+00 9.028382895371324324e+00 -5.048255462755374623e+00 -inf -inf
3.558187552557620648e-01 2.256585149134953186e-02 7.181917439491852795e-01 2.989242097170427215e+00 9.680297715431629424e-01 -6.294625873564767105e+00 4.608564383434456069e+00 5.718123477934115684e+00 -2.521909150126241455e+11 -2.521909150274827576e+11
3.383600949373481437e-01 2.233840243761878175e-02 7.150366951798302617e-01 3.175310090581030753e+00 9.574511349911695168e-01 -9.597825696652822813e+00 3.518331098725748785e+00 5.335370177296063332e+00 -inf -inf
3.274470324971795465e-01 2.246535353191016562e-02 7.134109763081947220e-01 3.191796335717633770e+00 9.662853960683164267e-01 -3.177919863278560797e+00 1.233957015890307263e+00 2.680334819733099394e+00 -inf -inf
3.313499742622290634e-01 2.191455206767385297e-02 6.841442670740351950e-01 3.190765266796989685e+00 9.642122534379157228e-01 -8.415204556252758650e+00 1.034144917818150944e+01 -2.382027746200938267e+00 -inf -inf
3.340505605005501533e-01 2.227982819869262984e-02 6.888482342639946632e-01 3.000443750093054529e+00 9.577168562167491794e-01 -7.812894213685343203e+00 7.898635083977058713e+00 8.502418439119256988e-01 -inf -inf
3.452724522079264613e-01 2.207687952758405694e-02 7.206092028331813060e-01 3.172572217569757047e+00 9.642725801626669258e-01 -9.805389844994115478e+00 9.612423496560220215e+00 4.277960211479138408e+00 -inf -inf
3.196860549948555841e-01 2.159271044657944810e-02 6.232937912008570391e-01 2.942579396983501461e+00 9.627816449826198664e-01 -3.673669842940070041e+00 2.992909367657534681e+00 5.484743287893149244e+00 -inf -inf
3.094219540201793572e-01 2.306719535101680804e-02 6.210911368739755467e-01 3.097824998227061144e+00 9.545934695793958369e-01 -3.771861989354217570e+00 1.357332077512834800e+00 3.532995924163508050e+00 -inf -inf
3.311595245129633214e-01 2.147335970701438543e-02 6.796590448944331841e-01 3.081279010284698305e+00 9.641868682914589428e-01 -8.749509642686405186e+00 7.242801439532055019e-01 4.352816286963731685e+00 -inf -inf
3.044287874045793485e-01 2.235463877408519484e-02 6.677032889183776021e-01 3.054573608107555405e+00 9.645663188009532263e-01 -8.320149959099676806e+00 6.967582650588400206e+00 4.719370086878038606e+00 -inf -inf
3.546794693985964586e-01 2.176001266500824163e-02 6.979816379381651448e-01 2.972553878656090109e+00 9.638560411724711452e-01 -8.902043125673309021e+00 2.685221005181762877e+00 3.426827548981199456e-01 -inf -inf
