# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.389600643361765919e-01 2.256663115572156084e-02 6.810369591039937553e-01 2.993530258917819431e+00 9.650391722748025147e-01 -7.452864704562080611e+00 1.491734771832713413e+00 -5.169003095487824773e+00 -inf -inf
3.124318049733492142e-01 2.225310468907566730e-02 6.322947739916340293e-01 3.148225092451490514e+00 9.662803578060382703e-01 -3.430288586160134656e+00 9.030230218634159201e+00 -1.353340010991427533e+00 -inf -inf
3.576012888771455400e-01 2.180394525615156689e-02 6.535099925430154499e-01 2.958469741567518518e+00 9.626749392355136159e-01 -9.904030762736402593e+00 1.201135570725173096e+01 -1.563754788542759400e-02 -inf -inf
3.004608925951023912e-01 2.256022166082861241e-02 6.175209718160004080e-01 2.881793808951422342e+00 9.683743310443534424e-01 -7.446861718423797072e+00 9.239443803851822068e+00 2.601623593475983043e+00 -inf -inf
3.568643614558032473e-01 2.222607337682347070e-02 6.906618674275026848e-01 2.914985804616196940e+00 9.573319032198847056e-01 -8.002898205124957087e+00 3.372322764416189056e+00 -9.102109353362175526e-01 -inf -inf
3.160643370839572031e-01 2.286456715997775904e-02 6.590113221028861545e-01 3.032360062411751933e+00 9.627975717681388490e-01 -8.440791182177772356e+00 2.656188342210090259e+00 -6.750844044625051055e+00 -inf -inf
3.045731950518867914e-01 2.234627804402803536e-02 6.806046354994326197e-01 3.210669327298646181e+00 9.676753641116754290e-01 -3.149686541626926406e+00 1.091297579098982062e+01 -4.579099074435609040e+00 -inf -inf
3.071403759634945829e-01 2.275611615677169963e-02 6.412386372322296246e-01 2.853250131603453976e+00 9.670046070127725768e-01 -3.620349426790149039e+00 4.216901443351884993e+00 -2.946201286021950416e+00 -inf -inf
3.287101379368833065e-01 2.255046639436709272e-02 6.819550718926334909e-01 2.944453321184684391e+00 9.667583205232658239e-01 -8.291393646584493737e+00 7.448262731472348186e+00 -1.907102586044641335e+00 -inf -inf
2.960129002275549981e-01 2.212809380484146229e-02 6.374437357410398519e-01 3.157668164083252460e+00 9.631991829057561239e-01 -9.798541284301443000e+00 2.325358601564980088e+00 -5.697424652636415843e-01 -inf -inf
3.258133906249121581e-01 2.141337855195189419e-02 7.108227605275219130e-01 2.982408537590901965e+00 9.602186598315730626e-01 -3.758276325218522729e+00 1.208075050524009342e+01 4.615224541484467480e+00 -inf -inf
3.555753529718328476e-01 2.286109777076041072e-02 6.978206190245469509e-01 2.960525977750361637e+00 9.576113832894698197e-01 -7.862412068715673996e+00 1.173197104080106357e+01 3.183360698920640885e+00 -inf -inf
3.406594603873895899e-01 2.296712959621641931e-02 6.254980509692261714e-01 2.923392862319521335e+00 9.651242014862773111e-01 -7.669333669383588514e+00 4.553712545906846820e+00 6.547313337808740030e-01 -inf -inf
2.806915604243946372e-01 2.261992398778075661e-02 6.274250278160907746e-01 2.873894966781887828e+00 9.672064555242453343e-01 -9.178048045737558169e+00 7.456780787641374975e-01 -5.105797317785659928e+00 -inf -inf
3.408843560842981235e-01 2.249832381756397201e-02 7.069867135733106656e-01 2.997890033987985703e+00 9.641153434232743180e-01 -7.304555912245847438e+00 8.567113836652616499e+00 -6.250161732769477396e+00 -inf -inf
