# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.425808681845976533e-01 2.237737392040576104e-02 6.865932479382046427e-01 3.137225445216118569e+00 9.681155674579879911e-01 4.175401110242773495e-01 9.033668619328496519e+00 3.050519288862959755e+00 -3.170639386408398747e+08 -3.170639517807744741e+08
3.405657934932046493e-01 2.150393579806335331e-02 6.144307447373965614e-01 2.906963793893215353e+00 9.614387759151731272e-01 -1.075327196959870779e+00 1.855050451096570630e+00 4.693423916712122335e+00 -1.303866621251915395e+07 -1.303867935245376080e+07
2.948758415245906206e-01 2.212716977066397570e-02 7.191969844924788191e-01 3.138900189953929054e+00 9.661482520524612427e-01 4.265409629238336997e-01 1.645477556774360028e+00 3.179786892315604518e+00 -3.097748546139898244e+05 -3.097879945485963253e+05
3.372802757135870411e-01 2.174352935975118473e-02 6.709467826522572675e-01 2.994555409942762925e+00 9.633323928291209759e-01 -1.450244532290608568e+00 9.530562783373156321e+00 4.014130838122120792e-01 -3.401406161031847005e+05 -3.401537560377912014e+05
3.561750693006290325e-01 2.242000684843305919e-02 6.742488229686499634e-01 3.102431097171117091e+00 9.587008717742767638e-01 -9.441634798506040038e-01 6.224060102235156933e+00 1.795246538090820465e+00 -1.367715236069195438e+06 -1.367728376003802055e+06
3.085457932239504819e-01 2.246734263409622817e-02 7.243664391514420542e-01 3.183980243812243760e+00 9.693831388694377216e-01 -6.138078985059922665e-01 9.159165925492972704e+00 6.140329973210061354e+00 -8.330123136671823730e+11 -8.330123136803222656e+11
3.309253935535794722e-01 2.244421497724322090e-02 7.240916217215345174e-01 3.143385959775064631e+00 9.645332191465506577e-01 5.113314677185742951e-02 1.151914021196183668e+01 -1.735540590956560436e+00 -2.643888107516797027e+05 -2.644019506862862036e+05
3.052086179651235520e-01 2.200143875710473471e-02 6.670460964158814177e-01 3.070669255253558827e+00 9.600499909382071984e-01 -8.658772666435682330e-01 9.922928173988385225e+00 3.039277137185719013e+00 -7.297521323529215157e+07 -7.297522637522676587e+07
2.987560314898999869e-01 2.221572835968858503e-02 6.508813858470577918e-01 3.149326428961296109e+00 9.619794122238626288e-01 -6.080697780110762007e-01 4.242345369572995573e+00 3.196745398488001655e+00 -4.077193197454490233e+06 -4.077206337389096618e+06
3.393883866116956249e-01 2.195469322537851528e-02 6.539302922840170007e-01 2.919150119889974526e+00 9.642637248418250984e-01 7.734466542435378678e-01 6.237790021407768393e+00 -9.986268817497379047e-02 -1.149639695124452846e+05 -1.149771094470517855e+05
3.551281932836849453e-01 2.243337890209783428e-02 6.279047211248749427e-01 3.028016746200364651e+00 9.657756619703027345e-01 9.622884589883220485e-01 1.828350793284527764e-01 4.776298816722910345e+00 -2.780583903402409123e+04 -2.781897896863059214e+04
3.086965178660281417e-01 2.267166530487592715e-02 6.580040990688367231e-01 3.170119615367473997e+00 9.688208636523041317e-01 -1.073225787362380501e+00 1.109594905867061243e+01 3.148426735776757468e+00 -1.783419721005306542e+08 -1.783419852404652536e+08
2.984869869053077829e-01 2.210743349791874715e-02 6.572836171332935296e-01 3.142082933164543679e+00 9.606695591857596916e-01 1.975734703270117798e-01 9.669226158391420967e+00 -1.916745239128534450e-01 -2.369583612323702255e+05 -2.369715011669767264e+05
