# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.067715901055153571e-01 2.216450902662035760e-02 6.465009409355220171e-01 2.974569670901384910e+00 9.679611544705393200e-01 1.091435689393769337e+00 1.103765709048516230e+00 -3.691797791607983825e+00 -inf -inf
3.059183601244027106e-01 2.225839558631425436e-02 6.180831756061826443e-01 3.025334394204311828e+00 9.671589367264807890e-01 1.040716127187928830e+00 9.947631039864074154e+00 -3.142850823419370609e+00 -inf -inf
3.340624859966396243e-01 2.258564055003726631e-02 6.677207159524328750e-01 2.997009058324095587e+00 9.627312447244977811e-01 -1.067131579956171139e+00 1.191742016586565178e+01 -1.555595547945892498e+00 -inf -inf
3.313423489205612471e-01 2.245166125134548732e-02 6.893342748311500623e-01 2.858500097073741752e+00 9.639424664869400416e-01 -1.305871893527945193e+00 9.479763086876067391e+00 -6.482253614567619948e+00 -inf -inf
3.016500221080192778e-01 2.229469144829370614e-02 6.422929272102481102e-01 3.151344875445472482e+00 9.560568301622613951e-01 -1.372138000445888295e-01 9.888216971530404464e+00 3.760047042377058446e+00 -8.137611851978098154e+08 -8.137611978918218613e+08
3.351078066386557475e-01 2.185260246452157273e-02 7.010389164677468532e-01 3.092699048837570519e+00 9.621076457967158158e-01 9.897481788111437417e-01 8.995656566695219070e+00 2.748697219967612071e+00 -1.162611832363944799e+08 -1.162611959304064959e+08
3.263683102911156264e-01 2.185247281473978731e-02 6.954938610918428576e-01 2.907450284752286951e+00 9.690203115020962210e-01 -1.128110772241894155e+00 1.099624468700722879e+01 2.978954228601967458e+00 -inf -inf
3.213709448764561216e-01 2.248990758646594521e-02 6.309843908644291455e-01 3.069866481903315680e+00 9.606413539460177953e-01 1.153210435130493483e+00 1.009205867371720133e+00 1.039692714764226977e+00 -inf -inf
2.933421614795480581e-01 2.333900928632461069e-02 7.182542336060354637e-01 3.194281293735442340e+00 9.635906849571066468e-01 -1.461601977461445490e+00 6.317151791121855986e+00 6.282598011339501909e-02 -inf -inf
2.872496525249637611e-01 2.235890717622912929e-02 7.113165004336410302e-01 3.069819800519472341e+00 9.596447322698420379e-01 1.274544749843764979e+00 6.546298841202668584e+00 2.384868645800750642e-01 -inf -inf
3.598064287834880082e-01 2.202944745805794635e-02 6.641961154592552763e-01 3.205433049285937752e+00 9.655670980660474578e-01 6.413561992378857823e-02 1.425221260289510683e+00 6.138807337290625554e+00 -1.599927643323093414e+10 -1.599927644592494583e+10
3.274756916300081699e-01 2.195222227741146573e-02 6.899441158473864633e-01 3.052751819181768855e+00 9.533253158843896236e-01 2.682933285776023524e-01 1.054636469696820278e+01 4.605531262686788807e+00 -5.416922069635754395e+10 -5.416922070905155945e+10
2.944344562894742889e-01 2.206433858482871949e-02 6.430393636875566532e-01 2.838055626718123836e+00 9.730440136980956778e-01 -1.110671147450569274e+00 6.378749022483119369e+00 5.520595849139889211e+00 -inf -inf
3.059484040244644376e-01 2.265393865305181595e-02 6.576812940465509572e-01 2.927831638311825468e+00 9.636321173346130697e-01 -9.976030015088561687e-01 1.117679165260174123e+01 -1.917003371944961287e+00 -6.567416799839213490e+04 -6.568686201040617016e+04
2.927425718485330286e-01 2.202306025465904787e-02 6.931235526921710743e-01 3.203918652804229161e+00 9.642526351440519061e-01 8.994099083775211056e-01 5.694420940411005994e+00 5.997081518133333233e+00 -4.238472636563825684e+11 -4.238472636690765381e+11
2.893758453572267131e-01 2.337055908497008561e-02 6.708621227867745951e-01 3.077653976114541834e+00 9.626059581410915111e-01 1.427465764426037342e+00 9.001481039211021162e-01 4.996625639204733460e+00 -inf -inf
3.032138248622178733e-01 2.244648932399097990e-02 6.782052167502004014e-01 2.990598335110311812e+00 9.564767227148998074e-01 1.980469451615411991e-01 8.589819377430210068e+00 4.656544881719081985e+00 -1.119824925954726982e+10 -1.119824927224128151e+10
3.308535936645197739e-01 2.210400839842913134e-02 6.504375058423846889e-01 3.206579700908003261e+00 9.678853551897387275e-01 -1.054271248837999497e+00 9.627799552059363108e+00 -6.868998382149967163e+00 -inf -inf
3.323706962503726881e-01 2.183859942560950271e-02 6.161113427231205142e-01 3.106051262047510253e+00 9.586638981899443523e-01 1.224757208784100104e+00 9.713915432903302616e+00 -6.333102522154381298e+00 -inf -inf
2.976805139155075386e-01 2.184384085142185294e-02 6.673610384762154180e-01 3.043669159051616280e+00 9.589371674486742991e-01 2.395850595998503252e-01 1.157604130199947789e+01 2.372301414168120459e+00 -2.512231938298496604e+07 -2.512233207699698210e+07
2.947572772504152838e-01 2.182230208346351910e-02 6.772428200799425202e-01 2.972676046927997806e+00 9.587409290259505390e-01 -9.957507324178083152e-01 1.000139168596996875e+01 3.454174315402164908e+00 -1.601195444044103920e+08 -1.601195570984224081e+08
3.326178698032972170e-01 2.213690253667576976e-02 6.232881266200985815e-01 3.027841032338376870e+00 9.616546978237687782e-01 -1.233067189762386384e+00 5.401044474004465634e+00 4.213540152065743172e+00 -inf -inf
3.416595368940220645e-01 2.320564052551679635e-02 6.650302978208877391e-01 2.981414381128149937e+00 9.636358489863043886e-01 -1.373859183913169080e+00 1.874906497006055828e+00 1.699124603267646805e+00 -inf -inf
3.080338316290328615e-01 2.260990661820828918e-02 7.080334942758698125e-01 3.128372443353746757e+00 9.597082594863567406e-01 9.503734008218263085e-01 1.029204339841608729e+01 -2.760140996614311781e+00 -7.342821088552089350e+04 -7.344090489753492875e+04
3.001412133255200732e-01 2.292461508309988696e-02 6.341799360800728369e-01 3.184019536457623367e+00 9.561162203603311704e-01 5.117510051759923684e-01 7.240354074463730694e-01 5.443823519707004621e+00 -1.567902548609834164e+07 -1.567903818011035584e+07
3.528722172291204884e-01 2.126205265354357346e-02 6.263744535924116175e-01 2.996813705466588651e+00 9.623565492562200507e-01 1.110178086837260825e+00 7.399631740583465067e+00 -5.227949020784353529e+00 -inf -inf
3.490010260524926133e-01 2.245780839674697479e-02 6.775897748866970272e-01 3.072624871290635440e+00 9.639242698509669083e-01 5.237759478151220449e-01 5.824475170765806453e+00 5.659613646080932980e+00 -4.426475025752506714e+11 -4.426475025879446411e+11
2.880054036423119745e-01 2.235694951965981961e-02 6.979267269973850052e-01 2.961485070082453763e+00 9.590411208605981175e-01 -5.943247310010679740e-02 6.144865502453956907e+00 3.896225720218257749e+00 -1.487903705120103955e+08 -1.487903832060224116e+08
2.809133427372858538e-01 2.288700850726826594e-02 6.688652892463721189e-01 3.179753212640005877e+00 9.509459539348986690e-01 -1.060081720943647277e+00 4.814606059333352839e+00 -2.438740779125809333e+00 -inf -inf
2.935110164663348176e-01 2.228695848152687647e-02 7.113514017888359353e-01 3.034127442359967120e+00 9.647061765904663133e-01 1.122901933013747300e+00 1.061308282611073217e+01 -1.997842904215203497e+00 -inf -inf
3.411645071109019045e-01 2.230536456310172264e-02 6.791427028480157002e-01 3.042357539365121433e+00 9.626091524263125088e-01 6.968957648709959152e-01 8.494853668693373550e+00 3.344303471388023752e+00 -4.142325890772534013e+08 -4.142326017712654471e+08
2.884583738758055294e-01 2.241920154863040818e-02 6.412808524029254276e-01 3.180661864311895126e+00 9.605630867258340144e-01 1.135165362123483845e+00 1.176701672502566076e+01 -2.884995509365900546e+00 -inf -inf
3.495317365300138479e-01 2.213814542187079321e-02 6.437659950204610571e-01 2.879537976858937309e+00 9.518565225356042658e-01 6.241374213954382633e-01 5.703207799984461035e-01 6.041916467435234139e+00 -1.174829068802373707e+08 -1.174829195742493868e+08
