# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.177950177616209460e-01 2.206182940275419266e-02 6.328085857504573974e-01 3.053183286609183256e+00 9.583777265888601127e-01 -1.185895060653542776e+00 9.778732658892339558e+00 8.592738921338494151e-02 -1.970530190684827394e+05 -1.970656393202514155e+05
2.856150458871921094e-01 2.261484450089818257e-02 6.582400347826979914e-01 3.119193964337917180e+00 9.615427436212617973e-01 1.128822438496908553e+00 8.159227537217430992e+00 -5.622939520206911013e-01 -1.101092792462117941e+05 -1.101218994979804702e+05
3.591218521395892482e-01 2.199230595788062917e-02 7.003162365820159163e-01 2.906492581588243418e+00 9.694956318475113077e-01 -9.986621000985267393e-01 1.054233152710082777e+01 4.347605124161447065e+00 -1.816182371975966644e+10 -1.816182373237991714e+10
3.384911182693439713e-01 2.194864031362170342e-02 6.121124296761006889e-01 3.007795542368548514e+00 9.614397673076564566e-01 7.298319566156070692e-01 5.594992222984313202e+00 1.212576395636705939e+00 -3.117012096630546730e+05 -3.117138299148233491e+05
3.144681725830568708e-01 2.291551404281107901e-02 7.025442089539717383e-01 2.876688214470814131e+00 9.651445277511545573e-01 -1.194660398457529027e+00 1.031394086418769795e+01 3.932086173169938803e+00 -1.238834609807996511e+09 -1.238834622428248405e+09
3.555376846095497090e-01 2.237335146290729895e-02 6.600615555272637547e-01 3.161915457180612510e+00 9.560782019844709101e-01 -6.659596282388391408e-01 5.268762398742839359e+00 5.052444462308249840e+00 -2.991018778610086441e+10 -2.991018779872111511e+10
2.980086081536211795e-01 2.150224934156682449e-02 6.780841878401041578e-01 3.111134196529013352e+00 9.652378262817898902e-01 9.604820741787758465e-01 7.914119979119768722e+00 3.599703491728597271e+00 -4.949635841446143985e+08 -4.949635967648661733e+08
3.165583839533407384e-01 2.196734173694856254e-02 6.315651498626163596e-01 3.120569070456327143e+00 9.624081758178152368e-01 -3.763861191389792360e-01 7.277175695711830095e+00 5.581944357048428174e+00 -7.957152407360836792e+10 -7.957152408622862244e+10
3.230624671585525243e-01 2.183635127639593082e-02 7.042448844700687216e-01 3.049305405934725766e+00 9.661912966231640532e-01 7.359020882911879724e-01 1.188222122430269367e+00 6.095180145004457373e+00 -7.603539037616593838e+08 -7.603539163819111586e+08
3.090082804129504757e-01 2.257215345487684210e-02 7.243304197826576640e-01 2.913437490221578940e+00 9.588323748730018803e-01 5.884965673493924854e-01 1.054775604059235405e+01 1.122424796389424273e+00 -2.132928444544880185e+06 -2.132941064796648920e+06
3.151443434140945299e-01 2.206530606220170193e-02 6.165176129931425608e-01 3.156258845785169243e+00 9.635012954621946513e-01 1.378678477036261452e-01 8.612168163666812148e+00 2.210406811265325899e+00 -6.473730061104061082e+06 -6.473742681355830282e+06
3.402479169011024540e-01 2.218063809368128747e-02 7.254623523338308289e-01 3.137205237126567958e+00 9.624202814090154767e-01 3.151639211947854236e-02 4.364490193381227456e+00 -6.762552653707647465e-01 -inf -inf
3.518278283943705453e-01 2.202932770950056379e-02 6.788765557304654585e-01 2.874531555966913565e+00 9.666485277165167700e-01 -6.878943493954592370e-01 9.403846950279694639e+00 2.434995734565191583e+00 -2.067265262213091180e+07 -2.067266524238267913e+07
3.132453130499539551e-01 2.236011412408341406e-02 6.267468365999256941e-01 3.133850793978295801e+00 9.625280335538488607e-01 -6.143352387070406539e-01 2.110137468831648100e+00 5.770899739006203788e+00 -5.082961623866498470e+08 -5.082961750069016218e+08
3.224961182552739669e-01 2.161946732378588337e-02 6.534907687422557565e-01 2.877520154815268683e+00 9.645295974436995934e-01 1.078507418760469960e+00 1.115402691514512767e+01 -2.807147280325349215e+00 -6.524298172640467965e+04 -6.525560197817335575e+04
