# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.287643638793380507e-01 2.197249842452750693e-02 7.295223268983749287e-01 2.842510977235547021e+00 9.649102843265222607e-01 -1.202506476474054953e+00 4.489004207184745354e+00 3.803294212688991038e+00 -inf -inf
2.821088412127660261e-01 2.237709556872435543e-02 6.887461336029462311e-01 2.997661720613372438e+00 9.583254477790567050e-01 -1.244339235255893072e+00 3.187125518354529063e+00 -4.352150099055980270e+00 -inf -inf
2.936632388127313753e-01 2.200252207353085854e-02 6.355233073953946432e-01 3.137830583009888041e+00 9.647585846403569088e-01 -1.087550834578624226e+00 8.377639102906123014e+00 -5.327069526807484579e+00 -inf -inf
2.896196901451233430e-01 2.252230463964791096e-02 7.148772083414688394e-01 3.207550234395034394e+00 9.607015850826053915e-01 4.942914068814032724e-01 5.701707822402029002e+00 5.393480829299475587e+00 -6.818483658176123810e+10 -6.818483659458683014e+10
3.322819524798051871e-01 2.186580446686194057e-02 6.747684410574684710e-01 3.155401296557569957e+00 9.655487058055294280e-01 -1.168118824828946911e+00 1.050005534161873122e+01 1.226889022137246599e+00 -inf -inf
3.345640999459726372e-01 2.174831673759487771e-02 6.674389421296842428e-01 2.995866214186583054e+00 9.643396306848172062e-01 -1.087713066928597261e+00 1.209501411228942480e+01 4.529297785429236001e-01 -inf -inf
2.821620126079335544e-01 2.214201399534661274e-02 6.283919210831677704e-01 2.985382358390714863e+00 9.635333915260614335e-01 -1.104070011538358820e+00 9.075334809316018436e+00 2.777052319971918593e+00 -inf -inf
2.971591115002740757e-01 2.260897953054957082e-02 6.818646218580178830e-01 2.835281942069897809e+00 9.606406509901816992e-01 1.404656484402564409e+00 1.204823559787952014e+01 -2.310012422159600121e+00 -inf -inf
3.018018752570630903e-01 2.237716658007893322e-02 6.425995084644451349e-01 2.881787435523917473e+00 9.676566581749769247e-01 -1.439534227634489350e+00 8.070070758955091961e+00 -1.523074852024232761e+00 -inf -inf
3.157702222460989083e-01 2.219735288104646848e-02 6.152787097027169194e-01 3.145632933606352211e+00 9.637935319317518790e-01 1.008037773760174005e+00 7.098653132331783411e+00 -2.125313268415023771e+00 -inf -inf
3.565431248262342923e-01 2.318514384375200410e-02 6.468520930945257374e-01 3.049148604066515666e+00 9.554817092917438082e-01 -1.365034066681533931e+00 3.115371129945525563e+00 3.530781971833235389e+00 -inf -inf
3.421611454590693935e-01 2.244927809224822254e-02 6.783416280867687886e-01 3.091053507702622660e+00 9.599842583500899362e-01 1.366268583359961042e+00 2.911559601859546653e+00 -1.436226921204677431e+00 -inf -inf
3.389988083529390517e-01 2.262021284907946711e-02 6.361779382724715992e-01 3.118772740142965016e+00 9.582887165188823664e-01 1.372585166312331850e+00 5.341048501791156866e+00 5.705288805910505801e+00 -inf -inf
3.346839684157378869e-01 2.238585076423306106e-02 6.479810887920854912e-01 3.200631245452279394e+00 9.649165052149074606e-01 1.035394407553680729e+00 6.296741336378276266e+00 4.777321688576785519e+00 -inf -inf
2.858553245548622335e-01 2.207678166649614665e-02 6.937751095708460936e-01 3.059515040175031952e+00 9.610143163267885758e-01 1.047028338888818411e+00 6.132259137165345209e+00 -6.204108660771632699e+00 -inf -inf
3.168909332645886701e-01 2.224048931199361021e-02 7.282396016587109333e-01 3.013785308347863623e+00 9.598541090566824474e-01 1.857416155946411962e-01 1.188330210869014181e+01 5.541962850870126189e+00 -3.001633881415705566e+12 -3.001633881428531250e+12
3.236976649795476058e-01 2.213717154065088233e-02 7.213153345999725463e-01 2.962051087858648568e+00 9.637343441511353470e-01 1.446718922678691399e-02 1.725996449139690858e+00 5.303671773218148644e+00 -4.960756127231345773e+08 -4.960756255487203598e+08
2.940200574991806426e-01 2.238412048184379097e-02 6.329654269489809471e-01 3.038409134815194701e+00 9.628105269700764079e-01 -1.174464246235025211e+00 8.631766934119832202e-01 1.761414969462025581e+00 -inf -inf
3.177079987291582808e-01 2.184955484745269502e-02 6.819890634649505845e-01 2.880217257615802495e+00 9.624140574199779863e-01 9.855113576099396866e-01 1.243602262278999726e+00 3.271322919103292648e+00 -1.301627656283297547e+05 -1.301755912141037115e+05
3.414680642493503337e-01 2.222996211325923080e-02 6.189684366081666944e-01 3.169375642236847312e+00 9.619775188492273310e-01 9.981746283162822309e-01 4.690337237167207185e+00 5.072706429607343637e+00 -1.455906850544726944e+10 -1.455906851827285385e+10
3.524364417408791805e-01 2.267283077423654786e-02 6.788455358668690209e-01 2.913350895438262089e+00 9.651770973205743287e-01 1.130670181952280196e-01 9.689562876530299462e+00 4.066414115319552991e+00 -5.822358158239384651e+09 -5.822358171064970970e+09
3.473129487082650124e-01 2.289498211743726946e-02 6.712124980082396775e-01 3.207530997145434437e+00 9.644737911236630490e-01 4.403404972055284805e-01 8.579166404210967656e+00 4.222036769304436277e+00 -1.133579681676454926e+10 -1.133579682959013367e+10
3.077716046189823973e-01 2.138102801618175716e-02 7.093909444051607061e-01 3.195533657110068315e+00 9.713769039989139653e-01 -9.808074729103067879e-01 3.554632579356876931e+00 2.800567129817729040e+00 -1.038200373278533225e+06 -1.038213198864307255e+06
3.039074080511325326e-01 2.191253166870072572e-02 7.223971717478469001e-01 2.921812553269080848e+00 9.641579682928730355e-01 -1.383168637845361593e+00 9.576062688664032763e+00 -6.559267788737010108e+00 -inf -inf
2.970187808114642669e-01 2.266467756005821621e-02 6.148741950968307224e-01 3.156529889586123794e+00 9.620592112532929674e-01 1.110790853261955924e+00 6.187712749299987713e+00 -1.664049182528548165e+00 -inf -inf
3.288082526879891332e-01 2.204385367858824329e-02 6.581913956967224699e-01 3.163717227199614346e+00 9.597570318354050611e-01 2.537024528488704966e-01 7.498035097906987190e+00 5.720454596592389862e+00 -6.294716686358059082e+11 -6.294716686486314697e+11
3.366086680018020583e-01 2.282826714300103046e-02 6.299216800574558572e-01 3.083909951129469196e+00 9.682316122344192255e-01 -9.404941796330492654e-01 9.817986961161532022e+00 -3.269916025417671790e-01 -1.884344571011069056e+05 -1.884472826868808479e+05
