# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.205507133288091337e-01 2.210757146884617663e-02 6.526159857384544738e-01 2.839685423068648351e+00 9.602787217481734139e-01 1.436397772284419894e+00 2.033480232678103405e+00 -3.791522299942312824e+00 -inf -inf
3.451069698380291317e-01 2.207960502569352237e-02 7.008465711370267526e-01 2.840180743132009411e+00 9.623595755869461810e-01 1.370384407766923829e+00 8.354013794663240233e+00 3.467266211420380273e+00 -inf -inf
2.994387729991658809e-01 2.209029692597121175e-02 6.881740570627257192e-01 3.095640331328772366e+00 9.616474760538534783e-01 1.230506021374298431e+00 1.179516496038471196e+01 4.054033282622581780e+00 -inf -inf
3.120180748554886585e-01 2.156832957438573062e-02 6.746006715199079906e-01 2.932330105181661928e+00 9.645605972819053520e-01 -6.593532022545365301e-01 6.889163752795496087e+00 2.803269294303397885e+00 -1.178953187883221358e+07 -1.178954537713077478e+07
2.953394304501928969e-01 2.172490243104513788e-02 6.170156440220059268e-01 2.992894084870544535e+00 9.605980074814937097e-01 -6.928274232820671452e-01 1.004245126778842412e+01 4.101016146989785227e+00 -1.721377482686404467e+09 -1.721377496184703112e+09
2.899230657393463417e-01 2.224412797286535667e-02 6.599325429556563982e-01 3.213881379140210104e+00 9.580404401632529598e-01 -1.887837359824828809e-01 8.132605793997512933e+00 3.883877620700483035e+00 -6.756495382999638319e+08 -6.756495517982623577e+08
3.094210808358527909e-01 2.170613519513803560e-02 6.660521079629795338e-01 2.876797961518451352e+00 9.645048253518753167e-01 -1.121691491770280935e+00 7.772413518298325386e+00 5.014008531499383636e+00 -inf -inf
3.325283636756346528e-01 2.179590562391398381e-02 6.173195710777448220e-01 3.056084708410799600e+00 9.661345376408202457e-01 -6.154498296707131555e-01 1.093750975172754103e+01 4.698546500798471470e+00 -6.414002203440248871e+10 -6.414002204790078735e+10
2.975234670261580061e-01 2.235767718614595917e-02 6.474564601928358698e-01 2.946062888078111008e+00 9.594317333740982612e-01 1.136210985992964329e+00 2.175604103772766251e+00 2.086820028952036665e+00 -inf -inf
2.896820942083341288e-01 2.206968511001292099e-02 6.886884371663903881e-01 2.968334949667661427e+00 9.589700120290350904e-01 1.403550922914031496e+00 1.167864926539122550e+01 -3.266295753549801173e+00 -inf -inf
2.863650664545788760e-01 2.207101607245288630e-02 6.495637463598915584e-01 2.872684016735317591e+00 9.612342666362346799e-01 -8.995849156003171698e-01 9.120579611258291308e+00 3.012110536927684379e+00 -2.265666591152143106e+07 -2.265667940981999040e+07
3.517849682565518665e-01 2.266578055145556519e-02 7.128767258268217111e-01 3.026770291548270819e+00 9.598541615822910877e-01 -1.054908160453323251e+00 2.039676544769708944e+00 -6.694373336446872713e-01 -inf -inf
3.466926574389924687e-01 2.169740949072378883e-02 6.488627033623238782e-01 2.898269201644607218e+00 9.643698519576539008e-01 -1.010580059519203378e+00 9.964249714877274400e+00 3.036791004564591390e+00 -inf -inf
3.348367489284687637e-01 2.254452641454432818e-02 6.469205328295007940e-01 3.118461364933384772e+00 9.619834181975415177e-01 1.124211348583949110e+00 1.069980025055709838e+01 2.206965926972694447e+00 -inf -inf
