# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
2.881993670315813882e-01 2.209091521766482630e-02 6.571052045055177926e-01 3.081921570788328513e+00 9.586741264141203089e-01 1.485177287353649511e+00 3.813383489136313642e+00 -3.012509949536763987e+00 -inf -inf
3.391121833732040347e-01 2.217414087467810963e-02 6.131053219370763419e-01 2.945648192365040607e+00 9.627965341671145261e-01 -1.217347807606420140e+00 6.210584125899814900e+00 -3.171987575529917613e+00 -inf -inf
3.006398077917185607e-01 2.190110257723118167e-02 6.733008297918231522e-01 3.195784904408453642e+00 9.648286889112113185e-01 -8.011772822327012378e-02 7.727349008565388644e+00 3.879445510475216352e+00 -1.000775023212192774e+09 -1.000775039397000909e+09
3.445189766765369699e-01 2.193178452600229311e-02 6.440957494043674236e-01 3.157417303611644854e+00 9.655101959262565314e-01 -5.322516014320466393e-01 4.374560704166755798e+00 5.380959475073080256e+00 -5.264790607218659210e+10 -5.264790608837139893e+10
3.325057916110905065e-01 2.185926829475091579e-02 6.147278283353286854e-01 3.210802003382118741e+00 9.571645688699830234e-01 -1.263700087285010598e+00 6.196932588077346260e+00 -4.320278748638664013e+00 -inf -inf
3.178952703167601812e-01 2.227604086762153407e-02 6.524306323949609077e-01 3.082987104979165949e+00 9.576292426919822409e-01 1.120869781425658740e+00 2.955153188971045619e+00 2.502658274177374409e+00 -inf -inf
2.860410955175368697e-01 2.266267929883953453e-02 6.902146007430564056e-01 3.098471255123703916e+00 9.580702285688864617e-01 -1.378500284976361012e+00 8.847722994090295501e+00 5.038404551825335531e+00 -inf -inf
3.114279852309140284e-01 2.234852351211079682e-02 6.905717262195143480e-01 3.129477825061849128e+00 9.577143463988575522e-01 1.030107159252304339e+00 7.175829282038780121e+00 -2.318644309448928631e+00 -inf -inf
3.268515249198309380e-01 2.281508520766849235e-02 6.457171393426832662e-01 2.889362984582250160e+00 9.625692774760105097e-01 -1.484094080301040064e+00 8.922295231774134139e-02 2.195628277367019265e+00 -inf -inf
2.953994498398810342e-01 2.199274116100101775e-02 6.623224877032508617e-01 2.942568390824429780e+00 9.620504310053560326e-01 -1.080979846614257056e+00 6.924522938001172356e+00 -2.566135132239839578e-01 -inf -inf
3.556785084796859620e-01 2.286679523882248141e-02 6.385536310508529434e-01 2.834227704996681307e+00 9.657113489002558948e-01 1.200030994136720430e+00 9.755216217167685500e+00 -3.277853959174352738e-01 -inf -inf
3.261764829816724554e-01 2.209874609063173720e-02 6.121930874222363261e-01 3.017234060314842647e+00 9.620605289849795128e-01 -1.127773814184258150e+00 9.448116126631026290e+00 -5.795271195489554827e+00 -inf -inf
2.908369915364031333e-01 2.207169007331231600e-02 6.287689363350814631e-01 3.201930279957054815e+00 9.623161305954240907e-01 -1.487277173205723946e+00 5.883993758019267162e+00 2.100323377848205553e-01 -inf -inf
2.847336708848816622e-01 2.214623034895589135e-02 7.190750898024997895e-01 3.025235082245896656e+00 9.634113057755869791e-01 9.118945235926076975e-01 3.654510947826537848e+00 4.756491237901704139e+00 -1.542551137762810946e+09 -1.542551153947618961e+09
