# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.100764592782622731e-01 2.279367589179089049e-02 6.151814691069809049e-01 3.197764840641208473e+00 9.673686522154475442e-01 -5.403214478151649125e+00 9.758733435315418703e-01 -5.645514562083404186e+00 -inf -inf
3.303131385788947716e-01 2.222251923801178350e-02 6.202919680733102181e-01 2.839392107245877650e+00 9.635278160783473655e-01 -6.195741884336887217e+00 7.666535806466816538e+00 3.685565555033043950e+00 -inf -inf
3.389926859564182382e-01 2.292658865764366991e-02 6.845155256584852799e-01 2.844365572739913528e+00 9.632287458868563634e-01 -4.120864860331294288e+00 1.121241059336737145e+01 3.912893218896639880e+00 -7.582218525860439301e+09 -7.582218538810218811e+09
2.903828906189195869e-01 2.235519523828384189e-02 6.247503467770595398e-01 3.058633728405883545e+00 9.619300794621289397e-01 -5.060354534346546806e+00 6.638034337480690494e-01 2.374200867584498553e+00 -inf -inf
2.930648878271995827e-01 2.248786980108922681e-02 6.121977886722533846e-01 3.034154491908764406e+00 9.680812117938538686e-01 -5.477409870226660260e+00 5.770338195797004133e+00 -7.156953362633720062e-01 -inf -inf
2.810850481533276324e-01 2.226097492198803734e-02 6.712837930071723358e-01 2.981057916992417400e+00 9.588132957273814982e-01 -3.827694923136753857e+00 6.156747975998525746e+00 -4.232330410597864301e+00 -inf -inf
2.940942412264828110e-01 2.262274299747280351e-02 6.132444065671310840e-01 2.925664469664496892e+00 9.544554475799130744e-01 -7.263706650622596683e+00 1.179648228996622450e+01 -1.707661172974610508e-01 -inf -inf
3.235810612541739628e-01 2.213455739059359481e-02 6.800308672467504367e-01 2.923903842968321953e+00 9.747518658869134267e-01 -5.235223676540321058e+00 8.914991491255857881e+00 5.354333948315957770e+00 -6.177440658796938477e+11 -6.177440658926436768e+11
2.882553309269141328e-01 2.193552137972062943e-02 6.197987825614171831e-01 2.917777656484896287e+00 9.599341199403730318e-01 -7.659248425534843641e+00 6.954867724012488317e+00 3.968771654249122705e+00 -inf -inf
3.151297795411434066e-01 2.242259107676250474e-02 6.561834515258445633e-01 2.937931978378811149e+00 9.614790306802153408e-01 -3.361788046867434154e+00 2.872065697654749616e+00 6.116508623985378534e+00 -inf -inf
3.265552951103438128e-01 2.216202418067889091e-02 6.420050974650010067e-01 3.066329973200442982e+00 9.654044862691105733e-01 -7.679218432807447314e+00 7.004345204240849831e+00 3.975883055827015511e+00 -6.726697686547137499e+08 -6.726697816044927835e+08
3.218171667664091462e-01 2.228143001130931944e-02 6.429418706010621154e-01 3.071738090502290408e+00 9.652969844293356472e-01 -7.322846868725330971e+00 8.876351540306735899e+00 5.049081232409719178e+00 -5.469988188518614197e+10 -5.469988189813591766e+10
3.083646324314658349e-01 2.321823716822496442e-02 6.427267129511776700e-01 3.162933606994039248e+00 9.572404726088410420e-01 -3.226271652376042631e+00 2.704238505461914244e+00 -2.683336795860727264e+00 -inf -inf
3.085326761796170492e-01 2.188755792916515300e-02 6.106215720818257697e-01 3.011846826373419272e+00 9.658011843461417056e-01 -9.056458847220115516e+00 2.089509526575220377e+00 -2.394359917714984576e+00 -inf -inf
3.532508909738595326e-01 2.219840856764386181e-02 7.047530033442787056e-01 3.180515704755965789e+00 9.690782924506261553e-01 -5.128361316164563810e+00 3.364702621183371711e+00 -2.068317367702822374e+00 -inf -inf
3.599490014758045531e-01 2.202115998196745028e-02 6.775366972722155490e-01 3.039634781100679639e+00 9.642015963252256183e-01 -6.687441611489465920e+00 6.907284620266984199e+00 3.891018648445170314e+00 -inf -inf
2.936046726690350051e-01 2.244653148514726484e-02 6.309561201758703275e-01 2.923292605502920694e+00 9.606220463392621811e-01 -7.215292570459123311e+00 4.692929572791907589e+00 4.445697383806120229e+00 -2.823793440794094205e+08 -2.823793570291884542e+08
3.528833237184756944e-01 2.224338868471988084e-02 6.109836687814049760e-01 2.940912646385644091e+00 9.595432443539548828e-01 -4.381971167186833327e+00 5.603338660583621511e+00 -2.489881407866073815e+00 -inf -inf
3.062677394931316299e-01 2.177532438870894566e-02 7.240245653976496998e-01 3.088665594876585985e+00 9.588402599722860575e-01 -8.438208859637835957e+00 1.146371851093784855e+01 5.738123533328227666e+00 -9.863495920716544922e+12 -9.863495920729496094e+12
3.330577540304767159e-01 2.228147427988947174e-02 7.097857824391518022e-01 3.011719184385460935e+00 9.543626207915493209e-01 -9.035352589502373633e+00 9.876042434502105394e+00 3.606729788717421670e+00 -1.510189519591643333e+09 -1.510189532541422367e+09
2.867819322639282853e-01 2.219141794355528746e-02 6.247122818466926963e-01 2.859459929143803425e+00 9.498512348228824731e-01 -3.506810718853563991e+00 4.336761432316895148e-01 -3.591257065681843219e+00 -inf -inf
3.148649784679458663e-01 2.238642970312219871e-02 6.230556099066110187e-01 2.931308405766490210e+00 9.646464359436168756e-01 -9.171738967722582458e+00 4.492774725078978904e+00 3.232628487609837009e+00 -inf -inf
2.863832897117457033e-01 2.144074806678606185e-02 6.240395948216892474e-01 3.180037085062950464e+00 9.701520350033073781e-01 -9.328017074448453627e+00 2.789198802111273690e+00 -6.170137169791720666e+00 -inf -inf
3.433426274885649776e-01 2.235450547930965814e-02 6.190411871582972569e-01 2.878844065061041402e+00 9.558692969747051293e-01 -5.761284940033576163e+00 8.645819223570644141e+00 -2.956521658984163636e+00 -inf -inf
3.446580951067894083e-01 2.249316499507680173e-02 7.027557105576704988e-01 2.856978907087659003e+00 9.678352215506311751e-01 -3.560643308186886458e+00 6.420361249400637682e+00 -6.179023126572609215e+00 -inf -inf
3.382634694746428639e-01 2.172759135449198881e-02 7.157025844508762003e-01 2.866954432792862217e+00 9.602911345685737343e-01 -5.691598375326637260e+00 6.405969859917397535e+00 4.136992680333575478e+00 -2.465827534643420219e+09 -2.465827547593199253e+09
3.471100203925050476e-01 2.186356445538571031e-02 7.168007511226193174e-01 2.876351896546361697e+00 9.589480314057498012e-01 -3.179162888349374327e+00 6.554230384666840159e+00 4.412448631876928928e+00 -inf -inf
3.178778848587222594e-01 2.194241151136911566e-02 6.787137134492085000e-01 3.129664508925910305e+00 9.565748888301417452e-01 -3.951422373261152643e+00 1.163336994003228142e+01 -4.901781261821428259e+00 -inf -inf
3.551566512350629590e-01 2.233723810150839081e-02 6.820399841819755338e-01 3.124024726359249993e+00 9.586427560976584772e-01 -5.050476763765503030e+00 6.981522608986308498e+00 6.788241235576055743e-01 -inf -inf
3.201581263703021651e-01 2.174633107040746874e-02 6.121817735144482464e-01 3.134278683517743413e+00 9.652283871115221459e-01 -4.769086890776133458e+00 3.144904364023096477e+00 2.087918549242516519e+00 -inf -inf
3.494253889378819977e-01 2.219878839834925344e-02 6.310660719238134764e-01 3.000745265652721372e+00 9.640099351164879149e-01 -9.017568976896599864e+00 1.969697894723463794e+00 2.613336257244634808e+00 -9.325824757395753113e+04 -9.327119735297968145e+04
2.867199562002648583e-01 2.132779653614022206e-02 6.186989180629564045e-01 3.205892936586141051e+00 9.656624427983916403e-01 -5.931575945404159889e+00 1.148995664249032878e+01 -3.203365700836564578e+00 -inf -inf
3.526193772536324045e-01 2.214011369869529552e-02 6.462043512297098724e-01 3.059076011133655015e+00 9.635044015538762885e-01 -5.075803836254793033e+00 9.481600083444216009e-01 -3.831982282538327844e+00 -inf -inf
3.578682902596511672e-01 2.200430602745548359e-02 6.740811051145595423e-01 3.096896815304752693e+00 9.633559704370028287e-01 -4.864753249513216637e+00 2.580288150811059111e+00 -5.750337055104708384e+00 -inf -inf
3.577995730080273384e-01 2.239809737564823350e-02 7.209979112004600843e-01 3.133707334893504726e+00 9.622936139236913933e-01 -9.281667574548801980e+00 1.041057561156520705e+01 4.516752769684595492e+00 -inf -inf
3.566332562582538168e-01 2.219732168548436968e-02 6.759580885658901250e-01 3.106482532688578768e+00 9.601037955924802691e-01 -3.918924032177825367e+00 1.378573074126374198e+00 -6.066584623159362089e+00 -inf -inf
2.968138252903948504e-01 2.246343916958605871e-02 6.388138218667440693e-01 2.959221936349040405e+00 9.723805713484415802e-01 -7.390913005243091582e+00 8.533393104752446945e+00 5.875988244325247578e+00 -3.225903471895454712e+11 -3.225903472024952393e+11
3.243482788830349683e-01 2.168804062156197421e-02 6.756099298075428639e-01 3.113325442973004620e+00 9.625834559701984539e-01 -3.889642652221501962e+00 5.318693388449356796e+00 6.779585246609256544e-01 -inf -inf
3.517221225466897749e-01 2.253790877945670637e-02 6.322321742570385927e-01 3.148956523058958012e+00 9.661090752695963291e-01 -9.684205012912409316e+00 9.539419032788783781e+00 -4.877575346152816849e+00 -inf -inf
3.385542661994473956e-01 2.223973757204373777e-02 7.235688260969990182e-01 2.912573693124067553e+00 9.697382139094071762e-01 -3.036876666028771155e+00 1.093435246501450031e+01 -2.507796083349759009e+00 -inf -inf
3.564699795317118891e-01 2.244087889483485643e-02 6.905612284340707507e-01 2.944489793530931987e+00 9.589437067940548287e-01 -6.415622322064864491e+00 9.223997204705712827e-01 -5.267311177245284526e+00 -inf -inf
