# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.336703688794713796e-01 2.244332278323982535e-02 7.222284447316275058e-01 2.923727408947093487e+00 9.690952565922883455e-01 -5.628174045644878554e+00 4.869678675508876786e+00 5.754629900427628897e+00 -4.869829968335170898e+11 -4.869829968498648071e+11
2.896674417939024693e-01 2.180164251141626999e-02 6.498445841817043211e-01 3.025229523089688399e+00 9.648583439317008903e-01 -3.542019137819291785e+00 8.128605540550140063e+00 -2.693099610691644941e-01 -inf -inf
2.883666764447407882e-01 2.249381172800785783e-02 6.888291797152765739e-01 2.977688111051192799e+00 9.591399688214381491e-01 -8.832324536800530979e+00 1.012153844252463664e+01 4.079573629323189010e+00 -3.699751721959672928e+09 -3.699751738307384968e+09
3.183653937604852824e-01 2.236602404839971997e-02 6.148850632178292086e-01 2.997582230690645222e+00 9.656138560519590408e-01 -5.173253533417874195e+00 1.351325288418323556e+00 3.327342921369016437e+00 -inf -inf
3.215457423519002544e-01 2.242870362133802392e-02 6.685769479260820214e-01 3.179730335016457854e+00 9.594764541262632562e-01 -4.122489852823543188e+00 9.764416627024417039e+00 4.656531298969035504e-01 -1.398729528626461048e+06 -1.398745876338421367e+06
2.819602104171356483e-01 2.250283715236857732e-02 6.208866315909095102e-01 2.848682227990199767e+00 9.672600282927206194e-01 -6.246609292193293861e+00 1.253707245600273579e+00 1.323303423567718795e+00 -inf -inf
2.982211723980166540e-01 2.156724655643135410e-02 7.164462219930086695e-01 3.008954940481480378e+00 9.570618935015976492e-01 -5.095635260135928490e+00 7.767969552163479285e+00 4.672409703773777068e+00 -2.292279543630472565e+10 -2.292279545265243912e+10
3.271018532926925904e-01 2.216060025261486210e-02 6.260867870447868189e-01 2.965486546471998164e+00 9.623789703253754491e-01 -8.358858026324265111e+00 6.076712905974868129e+00 -6.919976847701541089e+00 -inf -inf
3.329801705787420185e-01 2.203587829568334419e-02 7.117738002269946573e-01 2.979219295256078315e+00 9.615547765835472660e-01 -3.306723156598961211e+00 7.308637322151837701e+00 4.718950781453774113e+00 -inf -inf
3.496400823728486595e-01 2.205131981887998097e-02 7.160441942106291480e-01 3.017222678236984201e+00 9.664878934574056002e-01 -4.491236103161194038e+00 3.549105125476367917e+00 -5.803007959269533167e+00 -8.036448304199375343e+03 -8.052796016159549254e+03
3.056259038507965764e-01 2.238393040502984280e-02 6.803513480935193813e-01 3.074938214219764543e+00 9.618992090932189098e-01 -4.118713804931538824e+00 1.052707900483682479e+01 -4.233685585826885145e-01 -4.478322999970326200e+05 -4.478486477089927648e+05
3.553536092576943251e-01 2.294162605887700365e-02 7.270347447341283242e-01 3.061092932077216222e+00 9.632267819527063901e-01 -9.478816656378596051e+00 1.066631173827132528e+01 -3.099484643112592419e+00 -inf -inf
3.235032023603224838e-01 2.168159410292870917e-02 7.291187357093396049e-01 3.098821186027042707e+00 9.636521526324683951e-01 -5.127349881563580958e+00 5.067696429652515988e+00 6.052228432577280159e+00 -2.765465037222097168e+12 -2.765465037238444824e+12
2.807559394116864726e-01 2.251106217468076820e-02 6.830430869564890761e-01 2.867716997296408277e+00 9.691422756166317987e-01 -3.418447583913544641e+00 1.032256125639906941e+01 -3.275655420369829596e+00 -inf -inf
