# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.411637871320589710e-01 2.185196598032096427e-02 6.359864365399983122e-01 3.152207095340053389e+00 9.622818822804730665e-01 1.031370262956001760e+00 5.953638652549105181e+00 5.552113443982685581e+00 -inf -inf
3.093953124494995266e-01 2.229793297060127244e-02 7.026398041427189822e-01 2.997126753793809328e+00 9.613084232301360998e-01 -1.327382880508037655e+00 1.055715772164726474e+01 -2.890972548700426081e+00 -inf -inf
3.458933695182700996e-01 2.197072540632882473e-02 6.136579420276473407e-01 3.104874379668753459e+00 9.631340885736083823e-01 -3.170803252901304159e-01 3.168786760687805959e+00 5.417924604043097503e+00 -7.365950485334475517e+09 -7.365950499204778671e+09
3.237945496609928586e-01 2.186656861336969473e-02 6.971902643808811639e-01 3.065808957759623254e+00 9.591660112402560223e-01 -1.234214354618801135e+00 5.958299846194779370e+00 4.659974847586429547e+00 -inf -inf
3.106515025991161139e-01 2.220139556189068900e-02 6.337775170290492754e-01 3.208779146429268092e+00 9.584579490881020014e-01 1.355581845529224339e+00 4.505678118168355617e+00 4.968084678752997974e+00 -inf -inf
3.363010586859250250e-01 2.233091742911137711e-02 7.175903580704573459e-01 3.067568141624600120e+00 9.643488772036203915e-01 -1.403201391034247125e+00 2.896759594840910168e+00 -2.746657262639668140e+00 -inf -inf
3.436822753444869205e-01 2.193304245389566046e-02 6.496573441302471164e-01 3.153559121545242316e+00 9.610002003421498351e-01 -9.120880253010617000e-01 6.107766684637176979e+00 -2.119769295268813636e+00 -1.534362276233602643e+04 -1.535749306504117885e+04
2.846517451359467654e-01 2.173839626326710267e-02 6.814168452346771598e-01 3.084258063721590837e+00 9.608095577688974265e-01 9.038799637869154857e-01 9.089095118134785878e+00 3.483137944134892194e+00 -4.648157837739870548e+08 -4.648157976442897320e+08
3.161811506449248022e-01 2.203838286072527450e-02 6.487938239735854262e-01 2.906867681021166216e+00 9.598699236596422990e-01 -1.397216332627271962e+00 9.037999996599049624e+00 -5.948694023262532937e+00 -inf -inf
3.582932925416975611e-01 2.177698983884796685e-02 6.875284222201184514e-01 3.007043187332828271e+00 9.612100524321001149e-01 1.200899613177090153e+00 1.180020566399619852e+01 2.281173665084001101e+00 -inf -inf
2.956653654422178867e-01 2.188298454528781953e-02 6.855920160688805387e-01 3.031618749201665075e+00 9.663641297086141835e-01 3.530194445374046364e-01 9.814413721650602440e+00 4.316739017099946452e+00 -9.348658171919933319e+09 -9.348658185790235519e+09
2.930852321714602637e-01 2.252704609584843531e-02 7.219861292159832633e-01 3.096357645297037386e+00 9.568596571786465166e-01 -8.338712758930943991e-01 1.082512358729922930e+01 8.451593943515360863e-01 -1.231961835518071428e+06 -1.231975705820776755e+06
2.864432168955038938e-01 2.216617969441572397e-02 7.104872996414333119e-01 3.178368832987892745e+00 9.627887827084622430e-01 -9.957202025224898279e-01 9.060837531630303587e+00 -3.466329930041398555e+00 -1.625012371223893570e+04 -1.626399401494408812e+04
2.875202130238069809e-01 2.232403908357487310e-02 6.492453360031110732e-01 2.872048422297086567e+00 9.563279651261988867e-01 1.309876950059838396e+00 5.982707691487586743e+00 4.164421728997711014e+00 -inf -inf
3.467202362373174029e-01 2.191912231225935648e-02 7.255235260998645908e-01 3.108806747657851144e+00 9.659951561299873202e-01 1.159572420608019794e+00 8.147425328457613344e-03 -1.023855092940000766e+00 -inf -inf
3.323216274124420333e-01 2.250030655753073802e-02 6.109725269832522176e-01 3.123934546355625397e+00 9.672248385994784980e-01 -1.193556786862223884e+00 1.089858049451779998e+01 -3.105498771972605709e+00 -inf -inf
3.224919072689458877e-01 2.263932996905774001e-02 7.293802001704945415e-01 3.132939671285766448e+00 9.655499271006302564e-01 6.009058929513959590e-01 5.485898955565512658e+00 3.538891034283082604e+00 -2.592872332640523314e+08 -2.592872471343550384e+08
2.804150410645446234e-01 2.234459036683616312e-02 6.487930854688080951e-01 2.913452517320879398e+00 9.700325815050671041e-01 1.474931636149219294e+00 7.423390871443428907e+00 -3.693511862562226966e+00 -inf -inf
3.226857114806250260e-01 2.245499172921472039e-02 6.798907838964285411e-01 3.146346467978689887e+00 9.652741820165986475e-01 7.697995097037169110e-02 5.187874718165945254e+00 4.572354191713579041e+00 -4.281800558001890182e+09 -4.281800571872193336e+09
