# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          q1          a1_IA          eta1_IA        log_w   log_l
3.492002167270588098e-01 2.234628818984638055e-02 7.041930521847360458e-01 3.069644914770436106e+00 9.600952614877622526e-01 7.743472840492664488e-01 1.422996249527773927e+00 9.542004260690655215e+00 2.907534802726797096e+00 -7.126801213532786369e+08 -7.126801418979641199e+08
2.931405093460512368e-01 2.227008627732637511e-02 6.152379159866925296e-01 3.167463169367537468e+00 9.619827741196412818e-01 -4.035876390478363440e-01 -1.949168930228131202e+00 8.231866236180241714e+00 4.594097600170156781e+00 -9.820770638828754425e+09 -9.820770659373439789e+09
2.946662437953092573e-01 2.161797733375414240e-02 6.421159987152070814e-01 3.044476373677910797e+00 9.642991168540919755e-01 -1.120965510236420215e+00 -1.231641941741198565e+00 3.366848712742187999e+00 5.200085754192512510e+00 -inf -inf
3.485350060433983765e-01 2.290679147932185925e-02 6.948952725974850697e-01 3.097161467993720052e+00 9.672182542734593103e-01 1.167905494198791860e+00 -1.243497919719870115e+00 4.239514878512249396e+00 -3.154779382400866972e+00 -inf -inf
3.051858370786617036e-01 2.166054274940544533e-02 6.327911508537140683e-01 2.909916436884250501e+00 9.589836280515755540e-01 9.476109609570779746e-01 -6.395724790381986935e-01 8.047798915176949563e+00 3.018129500611529181e+00 -6.730581021007212996e+07 -6.730583075475762784e+07
3.064981431265343392e-01 2.240405060189300593e-02 7.290331275738370920e-01 3.158684183041032600e+00 9.660268505014533158e-01 -1.363170998596411998e+00 8.124681583542527896e-01 7.683100197154214328e+00 -1.698354657711809601e+00 -inf -inf
2.989906482919916786e-01 2.226726891148007523e-02 6.459053052896119862e-01 3.040766541048009142e+00 9.620626213227466694e-01 1.125628081738393682e+00 -6.902388463269053531e-01 2.445409989651318838e+00 -4.850304758916046843e+00 -inf -inf
3.464789892288928641e-01 2.228578373505463520e-02 6.101274557233424822e-01 3.115386646561362660e+00 9.646835738233248136e-01 -1.090690683125133287e+00 4.877657642446280306e-01 6.389442044970263801e+00 -3.667926641180268899e+00 -inf -inf
3.514272269275540705e-01 2.229159060035514756e-02 7.053029589886928852e-01 3.158016294963969184e+00 9.645952257506122951e-01 -9.675311793763921031e-01 -1.897809171522051752e+00 3.292088628131836003e+00 5.749778093206787233e+00 -2.345994519098726501e+11 -2.345994519304173279e+11
3.237770304308844049e-01 2.263093171425483233e-02 7.047283864135761577e-01 3.191919849810303855e+00 9.626301858996221261e-01 8.456281006618060481e-01 -2.562040530138038896e-01 8.532412522757715223e+00 4.469167833313557381e+00 -7.454215511252336121e+10 -7.454215513306805420e+10
3.563491170963299925e-01 2.157703907728437259e-02 7.194972222682124441e-01 2.948383959441200020e+00 9.623089696009454741e-01 1.141576345627795863e+00 -1.695031607970801879e+00 4.754832229786342346e+00 6.148545138247023090e+00 -inf -inf
3.528831848558068862e-01 2.254244819203719483e-02 6.608672664079352499e-01 3.168689460345897047e+00 9.640722402957305759e-01 -8.487680836922306682e-02 8.554116575680175139e-01 1.064316301691920152e+01 2.661673455788857723e+00 -3.080259817052881718e+08 -3.080260022499737144e+08
3.091489304559029150e-01 2.151483415358609180e-02 6.197480631816718599e-01 3.175742073078198668e+00 9.666964139324338845e-01 1.120071003104592400e+00 -5.041508479635914419e-01 8.328705820985421227e+00 3.406768997049061554e+00 -inf -inf
