# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          q1          a1_IA          eta1_IA        log_w   log_l
3.305203335464242387e-01 2.269748376219926991e-02 7.184549011944925123e-01 3.111435155425549937e+00 9.646414791330930605e-01 -1.555794954481646286e-01 -1.047995355262489436e+00 8.640082670499397821e+00 5.951269239588670601e+00 -2.401191355611864062e+13 -2.401191355613808594e+13
3.586175066124310806e-01 2.258518508886341036e-02 6.959468802074681992e-01 3.139353437073413300e+00 9.645208787163735975e-01 -1.073225401420796032e+00 -1.402309088950868698e+00 5.614442345783683397e-01 4.558386891990448220e+00 -inf -inf
2.962212207148836596e-01 2.268310145539107966e-02 6.590193998816410437e-01 3.157380559742384740e+00 9.701473111391106796e-01 1.001454606042924578e+00 1.159379560658028385e+00 1.201524554886118068e+01 -1.523152237736846715e-01 -inf -inf
3.385170469893739598e-01 2.235641917737372919e-02 6.219699100361018029e-01 2.853666479634759945e+00 9.653879986524644963e-01 -5.062134796594545127e-01 -7.027961536937308296e-01 6.604249096591545687e+00 5.279245027786226174e+00 -1.060102306248532867e+11 -1.060102306443003845e+11
3.320138299220364853e-01 2.199981424221130258e-02 7.009043042337180784e-01 2.965006882046262504e+00 9.641178398060410437e-01 3.416848232641362948e-01 -8.229334387559017472e-03 6.980154018799324511e+00 5.330359665970588523e+00 -6.099072282553929443e+11 -6.099072282748399658e+11
2.876878695213234693e-01 2.198813885709890309e-02 7.041985933877725756e-01 2.965709850917412460e+00 9.584572504098041179e-01 1.047717213206567521e+00 -8.069636479982205124e-01 6.585110918803914970e+00 5.352171783840629971e+00 -inf -inf
3.459399474893808946e-01 2.255552299523624557e-02 7.255127481754551910e-01 3.022094803808556662e+00 9.578891007302173799e-01 -9.031662644468521073e-01 1.868815584397376384e-01 1.041301867301054251e+01 -1.787212956706476064e+00 -3.722385393199998653e+05 -3.722579864137007389e+05
2.991234701382973205e-01 2.210988706943754767e-02 6.786402408386454921e-01 2.973973625078454752e+00 9.624365291225932539e-01 -1.486528820242184912e+00 -6.331256502610980164e-01 9.821302534219441327e+00 -6.331035205558054102e+00 -inf -inf
3.365143074515482557e-01 2.279890229986817479e-02 6.246483136611576947e-01 2.856444213794637754e+00 9.622174613270023658e-01 -1.147351401660643422e+00 1.809699071928017489e+00 1.096917449345044204e+01 2.574683440900709996e+00 -inf -inf
3.161013742843204466e-01 2.191406014844438088e-02 6.790796993930979797e-01 3.154964738365636734e+00 9.583370320190206515e-01 -1.153147488939239018e-01 3.002436379019179924e-01 7.822234231204710397e+00 3.825554584157021765e+00 -1.777975004198877573e+09 -1.777975023645971298e+09
3.305830783823326402e-01 2.203454555921309163e-02 6.633436409856241500e-01 3.175854389017482848e+00 9.571290805110881372e-01 1.867198689161571057e-01 1.590228987804111593e+00 9.631618603979424265e+00 2.222975533521047709e+00 -4.942551901234342158e+07 -4.942553845943712443e+07
3.449021194736536233e-01 2.183662187999452220e-02 6.544571638863575513e-01 3.181078252032546239e+00 9.665013833881911376e-01 1.343930652169035955e+00 2.234052211442736358e-01 7.289813538439321228e+00 8.753153683552525877e-01 -inf -inf
3.596448900098280776e-01 2.270364093403345884e-02 6.155632253758069883e-01 3.147152789161078879e+00 9.686654257874368623e-01 3.824485944579363306e-01 1.175513451757443928e+00 4.521264422038164810e+00 5.861133076854297741e+00 -1.155453993422690918e+12 -1.155453993442138184e+12
3.565418624631544464e-01 2.136439613122435160e-02 6.689157230638940188e-01 3.016190912682445990e+00 9.679894208614717721e-01 -1.412733386862685236e+00 -1.215725338824080737e+00 1.485300795502614735e+00 -3.071970970874880802e+00 -inf -inf
3.294614823493491884e-01 2.221011319818651936e-02 6.755891654172281324e-01 3.058468011839988510e+00 9.645162545979719670e-01 6.362933713371594635e-01 2.408618689816255376e-01 1.004117764096680254e+01 5.659330293168299164e+00 -1.072976835647195898e+13 -1.072976835649140625e+13
3.375958689316055361e-01 2.171196816301422181e-02 6.968761486217758261e-01 2.876408083974632657e+00 9.655588803850067015e-01 -1.141859913783393354e+00 6.044159298857127993e-01 2.906678295768444276e+00 5.462043677370621353e+00 -inf -inf
2.820570561839628732e-01 2.248668083890360825e-02 7.015979932800459062e-01 3.183598001544574618e+00 9.565712222846601831e-01 1.187129520424786033e+00 7.997414310010304561e-01 9.067766120273287100e+00 3.928145436521697675e+00 -inf -inf
3.596177750961505604e-01 2.257396091494915519e-02 7.235530818383989482e-01 2.874766630671711010e+00 9.609415223769257608e-01 1.249431394301236953e+00 -1.608725137693894247e+00 1.136418000408917450e+01 5.972105128364928461e-01 -inf -inf
3.532257882453036513e-01 2.143150931316029767e-02 6.266934757603669359e-01 2.906124782514451166e+00 9.665719443380217379e-01 4.911015883936613591e-01 1.411865805272765506e+00 8.319578146125651941e+00 4.518631725478218897e+00 -3.422303058213050461e+10 -3.422303060157759857e+10
3.402681320881063010e-01 2.197281506217530628e-02 6.474489989043907823e-01 2.993883467251179820e+00 9.662844662498668580e-01 -1.383905198096968103e+00 -1.178826051911932460e+00 8.248739604325798780e+00 1.289187936616658092e-01 -inf -inf
2.890824360843202712e-01 2.221576215230843671e-02 7.284669722058862984e-01 3.074977096253348918e+00 9.687687486707275974e-01 -1.304347422627286868e+00 -5.210745062020469831e-01 1.047088469014884105e+01 -5.381148874755496081e+00 -inf -inf
3.555223675653320092e-01 2.259469757992610406e-02 6.964534010167561240e-01 2.957150452794511608e+00 9.656845210396669543e-01 -5.286887325633703449e-01 -3.883766854011505565e-01 9.189336463363611429e+00 5.961727416094893428e+00 -2.780599948782563281e+13 -2.780599948784507812e+13
3.576905411251418143e-01 2.157525288046256012e-02 6.409901508324040709e-01 3.141098036219997613e+00 9.703701626500678135e-01 -1.434490130531195007e+00 -1.049201856580106451e-01 8.522527647829608810e+00 -2.019659781555467326e+00 -inf -inf
