# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.597805192706580169e-01 2.246733852535087034e-02 6.826613623259828456e-01 2.894432484062620325e+00 9.669250779063213175e-01 -1.180237355649307318e+00 1.189309902649074324e+01 5.218459250993836562e+00 -inf -inf
3.067702845367268893e-01 2.278694592397649196e-02 6.593839756389549001e-01 2.893817660752243448e+00 9.660460650883248013e-01 -1.211910044666334230e+00 1.023634078867067565e+01 -7.202166339975741849e-01 -inf -inf
3.407862278342491669e-01 2.218495056113211836e-02 6.497678819537803241e-01 2.839668574958182035e+00 9.620736470758536329e-01 -1.319689015469560189e+00 3.218058497207598290e+00 -1.864920192679136335e+00 -inf -inf
3.546759200803502043e-01 2.218834219664395091e-02 6.629952643201173501e-01 3.141526839797829318e+00 9.661795616472211856e-01 -5.554493007687205663e-01 5.855384268695559946e+00 4.026604140142179489e+00 -6.168842751573506743e+07 -6.168843396092354506e+07
3.394074382796390399e-01 2.254102474273882162e-02 6.550826126145264938e-01 3.102743456882239403e+00 9.574328637166776845e-01 9.243967638424073208e-01 7.434319124320187377e+00 1.900371450297859255e+00 -8.264353565184314502e+05 -8.264418017069119960e+05
3.281899394007260495e-01 2.260785248181145651e-02 7.114454889473562638e-01 3.097307513072987017e+00 9.617116404885458492e-01 -1.121726206370789791e+00 9.528877808453744436e+00 5.592918276678084055e+00 -inf -inf
3.181303010799922948e-01 2.258411441017110777e-02 6.818023679053633046e-01 3.072286027819917997e+00 9.617664080699718232e-01 -9.098105388275889993e-01 7.999724462772398681e+00 2.582364332750463731e+00 -1.600944820349026006e+06 -1.600951265537506435e+06
3.559704407478317956e-01 2.161484534032754104e-02 7.071961435635261140e-01 3.161540114167967097e+00 9.538831004070189579e-01 -1.251825224654718127e+00 1.193325650739981292e+01 -2.774775347344001553e+00 -inf -inf
3.519784276393402855e-01 2.304753673050163529e-02 6.450617551080277678e-01 2.861057683409643726e+00 9.651088860286421989e-01 9.160687504826601213e-01 1.194211830463810209e+01 4.996014993426069140e+00 -3.586907517802023315e+10 -3.586907518446542358e+10
3.535925529247431753e-01 2.248518827658642708e-02 7.137852842231462436e-01 2.853451143812123281e+00 9.748420963946330398e-01 9.116033887282819492e-01 1.057409470762143222e+01 5.899364634147222120e+00 -9.303274117745727539e+11 -9.303274117810179443e+11
3.051117408049379143e-01 2.219200155413715569e-02 7.210975660636539386e-01 3.092820977474391775e+00 9.636772854334116900e-01 1.437792759320090763e+00 6.859102394601107378e+00 3.613181101081607949e+00 -inf -inf
3.082079383659641625e-01 2.212039428772311772e-02 6.492547246849638132e-01 2.841676702465286475e+00 9.589415012794392235e-01 1.340482085108624766e+00 9.146684539074657394e+00 -2.214466243494989328e+00 -inf -inf
3.523045107562939315e-01 2.202522253205358577e-02 7.134027092710437667e-01 3.108342153974710254e+00 9.630071076350695813e-01 -9.628022875381534451e-01 5.101170486513009195e-01 9.523213961337795297e-02 -3.939504268569374972e+02 -4.003956153373829920e+02
3.124980869547845930e-01 2.197186217511747086e-02 7.089877317438717519e-01 2.979097429331570179e+00 9.611707936799971375e-01 1.329999579021333922e+00 1.754236296901799275e+00 3.518964517357531463e+00 -inf -inf
