# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136, 136, 136, 136, 136, 176, 176, 176, 176, 204, 204, 204, 222, 222, 233]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.221435338585636465e-01 2.220564382395974826e-02 6.146149656966166663e-01 2.978366000772346922e+00 9.672943873319868047e-01 1.302647203722059999e+00 -1.142045608360868769e+00 1.090007341168678145e+01 -2.397581899013658813e-01 2.042209665836820065e+00 2.232533773908349062e+00 1.354075891784961572e+00 1.240631339504170594e+00 1.200287300407760327e+00 -inf -inf
3.261876259402489708e-01 2.192921512231503847e-02 6.772252515299372888e-01 2.932800733940557958e+00 9.653275138955931256e-01 -7.513814405538749019e-01 -1.280633218728165268e+00 3.274755545743836205e+00 -5.618769267985470606e+00 1.403649179944465253e+00 2.196421002413417867e+00 2.864947218634488202e+00 9.719048905071072664e-01 1.828444752556247943e+00 -inf -inf
3.024359966279461798e-01 2.327481622813068474e-02 6.223679787052416312e-01 3.185330987046528062e+00 9.597900844765253625e-01 1.298177276648584400e+00 -3.458146177875336402e-01 1.935346073461581495e+00 -6.309813039454946093e+00 2.666485309040393048e+00 2.691907297010057043e+00 2.750103397073855760e+00 1.321167989685402055e+00 1.537068037207323545e+00 -inf -inf
3.105414027393613163e-01 2.200378329486888523e-02 6.129344109520794559e-01 3.035067572436315864e+00 9.581242792382644868e-01 7.297193667313748300e-01 -1.122985158867755073e+00 7.000978586522953684e+00 3.701283785071483479e+00 1.064595286760761761e+00 9.854499897086864690e-01 1.073321066773239796e+00 1.484905846551857200e+00 1.070685239979754622e+00 -inf -inf
3.084725471967141308e-01 2.188129272171510098e-02 7.087119626821704044e-01 2.889693088701261736e+00 9.619436569367979528e-01 1.485251081149367547e+00 1.452834222725390312e+00 2.857243611325972044e+00 5.854549953735000756e+00 2.056911531390698933e+00 1.880493855471648379e+00 2.440966315834661948e+00 1.734459489190501191e+00 1.788747484541553412e+00 -2.618519967940667343e+10 -2.618519971776668930e+10
3.329186931916340297e-01 2.286405787246294230e-02 6.610142163562224837e-01 2.982600975067518867e+00 9.585937355564626561e-01 -1.209781109479536987e+00 -4.639412332540373551e-01 3.713133669192030251e+00 -2.436060627881324159e+00 1.897376243040693300e+00 1.306950688598355947e+00 1.962700816741842047e+00 1.880955356538934975e+00 1.698219066017462087e+00 -inf -inf
3.564443023493417129e-01 2.274201610282556435e-02 6.869486900493981807e-01 2.854517722547979641e+00 9.639305173163562612e-01 -1.364566581742647777e-01 -1.498227482347952888e+00 8.475541033259796464e+00 6.104712009683623819e+00 1.858480642484491518e+00 8.328872252153636246e-01 1.819946771903549143e+00 1.676537271169583398e+00 2.210303797581566254e+00 -inf -inf
3.162122845015893358e-01 2.238178879186508013e-02 6.701874105996848963e-01 2.910594393039120487e+00 9.614115537536355172e-01 -6.525008581768027005e-01 -1.084519313500176718e+00 1.442762560176049869e+00 -2.302723777932490279e+00 8.965729676901993406e-01 2.635158034497476542e+00 1.195533285960784120e+00 2.838470389992192366e+00 2.377200432327276403e+00 -inf -inf
3.492161880277320773e-01 2.140858391052096257e-02 7.091769780686111302e-01 2.913864190611426874e+00 9.548924197291283056e-01 -1.169463067817470669e+00 7.197179188629498903e-01 9.124633058899863869e+00 -1.672286187702431093e+00 2.401660111938975550e+00 1.829388179476772791e+00 8.334025945936259783e-01 2.794249214224726607e+00 9.894795068214857769e-01 -inf -inf
3.359962611562998802e-01 2.239438542371382720e-02 6.541671720636801357e-01 3.107565127045462727e+00 9.609365789920305545e-01 8.746189508188844108e-01 -3.144279525782622819e-01 1.231867702393933395e-01 -6.982182418320323158e+00 2.527114935402273943e+00 2.562470043641700723e+00 2.495182034615736733e+00 1.132368790999829899e+00 1.169234054651430377e+00 -inf -inf
