# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136, 136, 136, 136, 136, 176, 176, 176, 176, 204, 204, 204, 222, 222, 233]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.365258026652334644e-01 2.255675596958523627e-02 6.604234148468424159e-01 2.872953737820346465e+00 9.665677930655310890e-01 3.419254901074308961e-01 -9.878689404116112183e-01 1.109398637978325119e+01 5.317849629054281380e+00 2.569037122250292793e+00 1.921048909364017065e+00 2.536157194537534743e+00 1.012490318297834868e+00 1.291349370643157357e+00 -inf -inf
3.498331171883438673e-01 2.284667533148532909e-02 7.153917435406129677e-01 2.876988221225045717e+00 9.591851318612036881e-01 6.894207290799903021e-01 -1.385641162096841850e+00 2.672973966590161066e+00 2.616937132923187193e+00 1.954775693530477199e+00 2.790847981466850314e+00 1.462944803822598283e+00 2.241288816467029488e+00 2.689294637822336576e+00 -inf -inf
3.216689490786964756e-01 2.198675361186483782e-02 6.571810410448674089e-01 3.216733322849271826e+00 9.541787369671957952e-01 3.365222701430892194e-02 -1.186049923380679605e+00 1.037839116782396154e+01 -6.610716655123282770e+00 8.416498386884722072e-01 2.831895039206932196e+00 2.351446191184764611e+00 2.066583952630896004e+00 1.162081598321304643e+00 -inf -inf
3.147356891984341987e-01 2.220262909740109911e-02 7.096565844771516307e-01 3.072345169878319737e+00 9.673733181966074346e-01 1.326353994320082830e+00 2.818567099513937801e-01 7.499715243259648112e+00 3.395770604993277431e+00 8.951719934898452191e-01 2.074610892660909034e+00 1.048137979323505942e+00 2.730767783212066924e+00 2.283586164078149849e+00 -1.775317208469653726e+08 -1.775317581062047184e+08
3.453264448089032879e-01 2.245352371319996043e-02 6.230344186980265597e-01 3.030615699003902819e+00 9.701254824610787697e-01 1.524519034266766937e-01 -1.192600597696690912e+00 6.579399329587461764e+00 5.628833836302655769e-01 2.265979744634268211e+00 8.534848857814059109e-01 1.668728477053575521e+00 1.341748410729713514e+00 2.512529762023406832e+00 -inf -inf
2.832056459432179540e-01 2.136915840324721955e-02 6.645756725025051548e-01 2.913874311673568140e+00 9.638840174082335954e-01 1.220083697839391412e+00 -7.837286520804465084e-01 3.237997352652972616e+00 5.575143533878499369e-01 2.329953978316306795e+00 1.413134379071130597e+00 1.331795239447828738e+00 1.986301543085698951e+00 2.706906509819262396e+00 -inf -inf
2.943367275370767366e-01 2.144372639570066991e-02 6.755949224511731410e-01 2.906931687750870186e+00 9.630849099676147551e-01 9.659628167402223298e-02 -6.414670265718097619e-01 3.730268533178404677e+00 -3.154492688429924030e+00 1.035610052166791029e+00 1.759740041728633297e+00 8.477613210272165745e-01 1.953636858420437550e+00 2.048916228180073684e+00 -inf -inf
2.998043555793488690e-01 2.228867374755993946e-02 6.505921474887739198e-01 2.949330911255362064e+00 9.686097613562519859e-01 1.073256219910567300e+00 -9.720747419779972587e-01 1.189447801466994115e+01 -4.436894268742555880e+00 2.321222508938831641e+00 1.633809548108297260e+00 2.325779086672783436e+00 1.145030271458056914e+00 1.765427396460178766e+00 -inf -inf
2.806212901745143706e-01 2.181328451697895840e-02 6.641631083167541805e-01 2.926058857579792782e+00 9.600326793264907232e-01 1.031567530953138689e+00 -9.844940343421750839e-01 7.725857795692724572e+00 4.317251004822166394e+00 2.438121700076442799e+00 1.635725022577307453e+00 2.374575346881645288e+00 1.799137683777050079e+00 1.989715956056702817e+00 -inf -inf
2.922483505509236301e-01 2.301256702482421326e-02 6.684956514451918519e-01 2.921669905120682031e+00 9.625063361601952083e-01 -5.548391083905904742e-01 -8.738288059515491035e-01 8.700586028435294494e+00 2.319565677191322450e+00 1.868751654243948401e+00 1.538859122020771686e+00 2.319195823161293468e+00 1.310850176133266487e+00 2.123155129114774553e+00 -inf -inf
2.869123838766075019e-01 2.234410610322884461e-02 6.908821110908078822e-01 3.113455310250632380e+00 9.578288401959547116e-01 -3.283695341898513753e-01 -9.342580477448928500e-01 2.793598952536300750e+00 -4.298346267331494275e+00 2.494811765580677410e+00 2.403185240455743887e+00 1.642956958983881943e+00 2.460012758417552625e+00 8.062636862710247376e-01 -inf -inf
3.522888378171636359e-01 2.306830199536443610e-02 6.934718823525851672e-01 2.901242364400378637e+00 9.608764104131101158e-01 1.705531011376981709e-01 -1.385378656100575867e+00 2.503352175035178817e+00 -3.938209890583551864e+00 2.591674085138154560e+00 1.971089645311012495e+00 2.663587033937059534e+00 2.509227451673921916e+00 2.649523932890443412e+00 -inf -inf
3.495596049659438487e-01 2.201348414541183518e-02 6.988808712804652767e-01 3.161723435060683762e+00 9.614767792869919338e-01 -1.447346460570863025e+00 -9.473696397426913940e-01 6.258696214949267755e+00 -6.934490719374147183e+00 2.494359007918694360e+00 2.431997469371067311e+00 2.457008406636755016e+00 1.818495302269848235e+00 8.098423177211897528e-01 -inf -inf
3.191083684254916175e-01 2.230699104323387652e-02 6.825935523500890056e-01 3.195788421131324331e+00 9.625822357873098367e-01 2.353171438419061623e-01 -1.347802245609186933e+00 5.043925032210662351e+00 -6.374674443690573789e+00 1.794273194872967325e+00 2.817737789030733353e+00 1.815603770179076371e+00 1.013702033252610546e+00 2.250721557625415148e+00 -inf -inf
2.996361540121728617e-01 2.279233304273831778e-02 6.318966666735994497e-01 2.919984268221552437e+00 9.612595487712296549e-01 -4.569594500167393214e-01 -1.115310551657341609e+00 7.226017754807402049e+00 -5.700445823170208648e+00 2.137313574542378802e+00 2.127375098563479838e+00 2.251461704234983152e+00 2.400535875592872515e+00 2.651986061515396731e+00 -inf -inf
3.050635233335327046e-01 2.183755738852953890e-02 6.793924863467972752e-01 2.879882670230046848e+00 9.526033868849741459e-01 1.466610090961855573e+00 -4.619449559631960689e-01 1.794086409976552554e+00 2.816164737192007550e+00 1.376268127205548808e+00 1.883160569545891283e+00 2.738812074860785373e+00 1.430361455618211597e+00 2.778269496387348880e+00 -inf -inf
3.426275595870756918e-01 2.205883013224405748e-02 6.497813691222769084e-01 3.079302153329771752e+00 9.576258793071561470e-01 8.792024145524228729e-01 -4.074489706495754149e-01 3.793244626673631270e+00 -1.081404320343682279e+00 1.610939064533309040e+00 2.782495373330890587e+00 1.600045044756990720e+00 2.749303805897349129e+00 1.855685293295752825e+00 -inf -inf
3.566243155517808128e-01 2.205692683885747060e-02 6.669602103412215488e-01 3.206554328717551083e+00 9.653264634546917522e-01 -1.382294343015884053e-01 -9.494263737817538740e-01 6.424623911923324826e+00 -9.441205639749528089e-01 1.664139447599650712e+00 1.302715692583204410e+00 2.804927203397249436e+00 2.187567775056119768e+00 2.182102086309725575e+00 -inf -inf
2.901410396638931521e-01 2.187999922568309441e-02 6.784952970445194964e-01 2.917273941573965690e+00 9.657526744247482142e-01 1.086108362975863884e+00 -8.798226177955984495e-01 1.177433199997101454e+01 1.034962525066735139e+00 1.429709991424775506e+00 2.164324818585470656e+00 2.239670101176771233e+00 2.691207978902284914e+00 2.908156098146009505e+00 -inf -inf
3.424429283882187702e-01 2.218366562858605992e-02 6.216025856816466133e-01 3.176981484405432266e+00 9.579930978573808487e-01 3.890905152411274770e-01 -9.237263817261218701e-01 7.527757759448511443e+00 -3.005936703194594717e+00 8.925322498745249522e-01 1.397124341998960073e+00 1.676969242781652270e+00 2.142915937391154380e+00 1.657292197042918858e+00 -inf -inf
2.982035835200688711e-01 2.233364622926764173e-02 7.072554079309905095e-01 2.906395370571330350e+00 9.582625957727793908e-01 1.196771666921080168e+00 2.218380463748292897e-02 1.182575180330576892e+01 1.961228821080370111e+00 2.793217961200331168e+00 1.843511848265241726e+00 1.713681045263825808e+00 2.201815652780356292e+00 1.962484026857291175e+00 -inf -inf
