# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.282524843752562815e-01 2.155591617209663691e-02 7.207120845006523835e-01 2.991129974922498214e+00 9.589660680690597072e-01 -3.721274572547739190e+00 7.299417954398246700e+00 4.534831510523831710e+00 -inf -inf
3.484531094066883328e-01 2.220898524606440896e-02 6.318974111938632232e-01 2.889577358501326021e+00 9.606502198036998008e-01 -5.199218214333141574e+00 9.991366749021068472e+00 6.005460914399622041e+00 -2.724805085700215234e+13 -2.724805085703149219e+13
2.906298519948581349e-01 2.188978737935059690e-02 7.291945696231638685e-01 2.976293797543167585e+00 9.619258735259972326e-01 -3.746948478611816569e+00 9.783810579831662579e+00 -6.261801959053673983e+00 -inf -inf
2.955341432235643051e-01 2.257704804930929857e-02 7.279416837396323059e-01 2.839529226931859274e+00 9.616534323206116230e-01 -5.761417566928501266e+00 9.116674994370063345e+00 3.346025452766221875e+00 -3.523729970810273886e+08 -3.523730264216648340e+08
3.015529561134560055e-01 2.212879389971956351e-02 6.109861008366186397e-01 2.908221226865843612e+00 9.650175673866949744e-01 -3.534433529884082326e+00 5.622806151150372855e+00 1.776862314204793236e+00 -inf -inf
3.051660287165628982e-01 2.248548872927672374e-02 7.012130890824356255e-01 3.050648876391075071e+00 9.590612578499747576e-01 -3.506667520071259148e+00 3.850151239212109999e+00 -6.400574289989247490e+00 -inf -inf
3.596722974478874790e-01 2.231362440944397937e-02 6.182466939863913158e-01 2.874168753402383647e+00 9.669368758393392937e-01 -3.316479312397743406e+00 6.922022549175409267e+00 6.068996688132905604e+00 -inf -inf
2.949109682381214070e-01 2.134951977209875729e-02 6.684907224575369344e-01 2.860293481379439839e+00 9.570502615706129035e-01 -3.277751265053860052e+00 3.419055334679552693e+00 -4.723769872296983863e+00 -inf -inf
3.014056704162198508e-01 2.285723954199799304e-02 6.350175136382258945e-01 2.989716980901813592e+00 9.604726690182701088e-01 -3.670349479365886403e+00 1.067875199671401099e+01 -5.034696253544081124e+00 -inf -inf
3.216089512484352486e-01 2.229648146867464070e-02 6.798776984281779123e-01 3.184034079319522093e+00 9.602314626966166333e-01 -5.208169769166891783e+00 5.863831676120804026e+00 3.967990071567863097e+00 -1.473226311525475979e+09 -1.473226340866113424e+09
2.817935866398888489e-01 2.221490732462287621e-02 6.929561520592479873e-01 2.945776621661661654e+00 9.625792955053704691e-01 -5.693694192019745692e+00 9.725607996799851662e+00 5.289889224135359669e+00 -4.276560840022020264e+11 -4.276560840315426636e+11
3.532358637140456947e-01 2.208517481306105160e-02 6.855160675794460534e-01 2.865816398278957955e+00 9.646374079831889770e-01 -4.521651843996979281e+00 5.818990244607531004e+00 1.852443675690688352e+00 -inf -inf
3.507918852200903048e-01 2.240430513965070355e-02 7.036164469553972678e-01 2.886759826819871311e+00 9.584492398780958267e-01 -6.418561585495747401e+00 1.203015035611959682e+01 -3.822899284332443859e+00 -inf -inf
3.535287951839115594e-01 2.216141099607911794e-02 6.553509178199912188e-01 3.188809457048942253e+00 9.624008721844188319e-01 -6.209114598554881681e+00 9.343940490636976293e+00 -6.342826436094877174e+00 -inf -inf
3.532433313501282535e-01 2.214361267428919741e-02 6.460606547938461119e-01 3.047992298588678928e+00 9.661044778511028719e-01 -8.627881630670289681e+00 3.131130483957787369e+00 -3.036119617256081593e+00 -inf -inf
