# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.210895276961160394e-01 2.228218774367781221e-02 7.054609624193628470e-01 3.046798055580361542e+00 9.638084918103304588e-01 -5.749502929095484660e-03 1.198776208785233166e+01 4.703096097818468380e+00 -1.055972500598850250e+11 -1.055972500719089661e+11
3.232582458034749529e-01 2.223688594341048305e-02 6.710214152767903784e-01 3.198503197981238166e+00 9.629993642107419483e-01 -1.044151644367260712e+00 3.588302972180345551e-01 -1.990421902334933435e+00 -inf -inf
3.343278586180614687e-01 2.211911329062525924e-02 6.839168693897657025e-01 2.892245022592788040e+00 9.649449953467224006e-01 9.038529186065908938e-01 5.626701835034574550e+00 1.332212696576794642e+00 -4.490492592684835545e+05 -4.490612832163256826e+05
3.001579096321549955e-01 2.211944668714034209e-02 6.788515382842230661e-01 2.902145471656381037e+00 9.676254432136744965e-01 1.054277519868065838e+00 9.345205744477867782e+00 2.349106453874645339e-01 -inf -inf
2.827100069706153240e-01 2.230233706436198296e-02 7.020087655415946370e-01 2.863724665086305965e+00 9.620195181325218448e-01 -1.205893116074729488e+00 1.003103249682906473e+01 -1.299880348383874562e+00 -inf -inf
3.331798443720085379e-01 2.211823901260853015e-02 6.575134950608219064e-01 3.140332585979277003e+00 9.634768571367451351e-01 1.439641790565655111e+00 4.437503871464168470e-01 2.946071774009531907e+00 -inf -inf
3.101686952601298564e-01 2.217179674379090443e-02 6.955164411259291413e-01 3.183153894321652189e+00 9.672645595383073669e-01 2.950537020354291329e-01 3.347221696759033804e+00 4.098927241864018356e+00 -7.963583804390500486e+07 -7.963585006785283983e+07
2.954410466932144153e-01 2.212933077218477707e-02 6.968378859295190075e-01 2.886856067170072926e+00 9.571413486826408912e-01 1.415563714065556589e+00 2.407764721656640905e+00 5.799359030366980861e+00 -inf -inf
3.385874792133408140e-01 2.242048592282462616e-02 7.219839950981445931e-01 3.159225188327021261e+00 9.556314186506150721e-01 -2.313069699328187401e-01 8.452517181012289882e+00 2.126938292303716338e+00 -1.210926692711838707e+07 -1.210927895106622949e+07
3.372911404664832302e-01 2.231805312859901427e-02 7.066154948526892632e-01 3.209420794948108835e+00 9.625390470370703833e-01 1.303307173484073545e+00 1.173606292869361489e+01 1.904164621090615128e+00 -inf -inf
3.592360150055763923e-01 2.174798251021800924e-02 6.216732401917592910e-01 3.031118227246366814e+00 9.595666549930069733e-01 4.207867997509051605e-01 9.233910312773563334e+00 3.255427960375076424e+00 -3.173236390765439272e+08 -3.173236511004917622e+08
3.382027440848716648e-01 2.196716537130829691e-02 6.430989292896921450e-01 3.020322374478098038e+00 9.633785892603005108e-01 1.458550485032859001e+00 3.488122909878323075e+00 3.644300361088879114e+00 -inf -inf
3.200392531787397687e-01 2.211139633401177154e-02 7.211485086125006827e-01 3.127942983012493627e+00 9.558372997744615240e-01 -8.563862660687220352e-01 7.193042057339131823e+00 1.604685886204523015e+00 -1.004313290789054241e+06 -1.004325314736896427e+06
3.165547489189665109e-01 2.246858390570522293e-02 6.387805372312959085e-01 2.868654198451841886e+00 9.685610065010030745e-01 -1.213608009724039150e+00 3.462759932214134473e-01 3.526978847660435790e-01 -inf -inf
3.214305402859986560e-01 2.162963144941607366e-02 6.254922090165074833e-01 3.124031403741620139e+00 9.573462261269169993e-01 -7.634378538807667924e-01 2.234097202370658231e+00 5.832109229630422220e+00 -2.995259853607460022e+09 -2.995259865631407738e+09
3.257489104703753524e-01 2.197793414530078288e-02 7.173236060542727000e-01 3.198442199946352371e+00 9.579630758502863941e-01 1.162311121348169607e+00 7.092777879242291306e+00 -5.811281813574982635e+00 -inf -inf
3.102550047944552802e-01 2.209954380348135364e-02 6.573423808494457399e-01 2.930964555490694678e+00 9.683156214600971978e-01 -1.564251597475259103e-01 7.077687221573177645e+00 4.369106487358141777e+00 -1.497276943341699839e+09 -1.497276955365647793e+09
3.093477761594108921e-01 2.213473675460298287e-02 6.904741880872501403e-01 2.958061218922010571e+00 9.567864972453209438e-01 -1.152512060488847023e+00 1.046641181459238013e+00 -6.679127036232252124e+00 -inf -inf
2.974790217262742176e-01 2.269122242457388000e-02 6.972710069238503561e-01 3.083683301153761658e+00 9.656333504822532943e-01 5.506233917761731433e-01 7.395157743526453942e+00 4.409722998037683084e+00 -3.923096670394200325e+09 -3.923096682418148041e+09
3.058830608569818588e-01 2.230583687303394624e-02 7.262201848369919110e-01 3.147290087558257898e+00 9.679046515856304378e-01 9.246416017453982228e-01 6.676423872857921715e+00 1.963127930280982980e+00 -2.973866671489498112e+06 -2.973878695437340066e+06
3.448989926918925031e-01 2.202294545410217810e-02 7.279104864225840466e-01 2.910718907209281614e+00 9.621863215879338238e-01 -1.195726220975856791e+00 8.053028671912064951e+00 -3.971926599320537044e+00 -inf -inf
3.032612616257038263e-01 2.222644490260201541e-02 6.801764967062452483e-01 3.084839478021711212e+00 9.539264481184615008e-01 -1.185536327571336201e+00 6.471323749033737194e+00 -4.034174674654186887e+00 -inf -inf
3.373797893967049877e-01 2.235728815223383611e-02 7.034636982519624215e-01 3.084898456329198790e+00 9.660266391941827457e-01 1.489194741421971280e+00 3.960649930746105163e+00 -5.950608534981257414e+00 -inf -inf
3.093064714356266731e-01 2.221716712945874875e-02 6.706287651526128268e-01 2.908462294347161414e+00 9.644422833132879624e-01 1.254900478571895128e+00 8.093702222184936401e-01 5.709483920227203413e+00 -inf -inf
3.050222278209386295e-01 2.223489882214926827e-02 7.098826458556619645e-01 2.861568684394545148e+00 9.696697273534014005e-01 1.767026260210702304e-01 9.760284591132075249e+00 4.611519063418388242e+00 -1.692030269506335449e+10 -1.692030270708730316e+10
2.933117515311902679e-01 2.251270559378520594e-02 6.283436040608186834e-01 2.939791553159074144e+00 9.611614206126137816e-01 -9.791728652144585654e-01 6.628361467696411991e-01 7.565537389957759373e-01 -3.858958425693099343e+03 -3.870982373535265197e+03
3.039480293735224992e-01 2.208241317857529556e-02 7.209274791649297187e-01 3.011368097683253975e+00 9.606195805936369458e-01 1.063322309938845578e+00 9.332363753971742781e+00 5.054994538071630572e+00 -inf -inf
2.957032863537467637e-01 2.238416623663933014e-02 7.189014484154073736e-01 3.150957720235193271e+00 9.586267244285137101e-01 3.385053358382377198e-01 8.380840890860937975e+00 4.838412974668631961e+00 -3.822668686999104309e+10 -3.822668688201499176e+10
2.996286590290059837e-01 2.267451532134830139e-02 6.505837040075713729e-01 3.147132061212964960e+00 9.689956658446048365e-01 -2.798790448278343224e-01 8.518369461329179160e+00 4.505129930630243251e+00 -4.924045193685326576e+09 -4.924045205709274292e+09
3.130850471922782541e-01 2.249421180272815832e-02 6.169881954708348326e-01 3.059928535659313553e+00 9.643643989580865661e-01 -1.197877635879440739e+00 1.018226743226060371e+01 -7.822529264823803175e-01 -inf -inf
3.370629992170371403e-01 2.251364345090174288e-02 6.868489938615239820e-01 2.945090454739331953e+00 9.622964239035968204e-01 -1.390683660939530331e+00 8.336158972132254874e+00 4.972085824013493749e+00 -inf -inf
3.243776031880888366e-01 2.217082940373450717e-02 6.679589683020153990e-01 3.163650867832223046e+00 9.602711063156518234e-01 -2.542275804018803154e-01 3.692815738613941079e+00 3.101788304318786160e+00 -3.486955868410273921e+06 -3.486967892358115874e+06
3.300088495106708875e-01 2.252314036509817791e-02 7.258844534624361300e-01 3.003623879741186720e+00 9.573417184677963654e-01 9.682833519710554171e-01 6.246662498823928544e+00 5.989715756412621772e+00 -2.201921680898811035e+12 -2.201921680910834961e+12
3.130936917954235676e-01 2.241166624812481606e-02 6.897248036621254075e-01 3.122262719831772948e+00 9.638961554722299541e-01 -1.134534389364307394e+00 1.067848252050432478e+01 1.465770485032329873e+00 -inf -inf
3.145136608729214300e-01 2.214453069554733061e-02 6.278415999846344020e-01 3.150587950581770880e+00 9.595240569952088183e-01 -1.444148564878758645e+00 3.898778812884198253e+00 -5.122806695412311484e+00 -inf -inf
3.017636377910550838e-01 2.241936726919492584e-02 7.091278596053283145e-01 2.955016030115288572e+00 9.628477444269243346e-01 1.422709303650500967e+00 5.340878813324405616e-01 -6.729823303122879352e-01 -inf -inf
