# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.395550392948255558e-01 2.223598433320926257e-02 7.161013061189624995e-01 3.104728218556364716e+00 9.632508275049518343e-01 1.152498112515762951e+00 3.312922643048433535e+00 2.663264945630984926e+00 -inf -inf
3.166418250620572916e-01 2.305104000061416331e-02 6.704204914649748437e-01 3.112656483241578176e+00 9.688752511590785765e-01 -1.462623358532935347e+00 1.828594216864996458e+00 2.815313195505726895e+00 -inf -inf
3.405380170022561659e-01 2.277106844864074456e-02 6.360653571930584560e-01 3.204476524615857080e+00 9.638728389536863617e-01 -1.350325287416035636e+00 4.989374196953636265e+00 -5.038163904083275746e+00 -inf -inf
3.166094830877403399e-01 2.182483576748063536e-02 6.227129391211868592e-01 2.833935917498071611e+00 9.671151278564003029e-01 1.367715382749276731e+00 5.487515878205327269e+00 -6.716700553622128034e+00 -inf -inf
3.264573398076959787e-01 2.147550022931640420e-02 7.250873407947817650e-01 2.892059217615511990e+00 9.615808660696553156e-01 -1.349446460008996151e+00 1.599019398568337635e+00 5.613031325010332750e+00 -inf -inf
3.535152700363469180e-01 2.183180398167778799e-02 6.867814314470848114e-01 3.016143457035935782e+00 9.663644524915273593e-01 -1.229350223605846448e+00 4.758301885566362799e+00 4.842878431868880895e+00 -inf -inf
3.459806242352920780e-01 2.204586634159617226e-02 6.348572224552129217e-01 2.870036880175488303e+00 9.627000377566334866e-01 5.742888373489960507e-01 8.420680143620169034e+00 5.030815926916650582e+00 -8.513891925188415527e+10 -8.513891926379609680e+10
3.406277028135195617e-01 2.211103019238877532e-02 6.322644044245600004e-01 3.208858336779639497e+00 9.629228077602246527e-01 1.041879020356912822e+00 9.747889900187052703e+00 4.354256510116453427e+00 -inf -inf
3.586416674721166209e-01 2.186516914657538058e-02 7.130444934259383416e-01 3.151696182651587463e+00 9.601980985921525491e-01 -1.118932269442506122e+00 1.106805551743243932e+01 7.269729544258938247e-01 -inf -inf
2.947495736321340543e-01 2.206676105509575506e-02 7.017871834955204946e-01 3.076239155141504256e+00 9.619594065185850251e-01 5.714868819410496847e-01 1.404159302599909287e+00 5.966114371700502517e+00 -9.933250193441561460e+08 -9.933250312560954094e+08
3.072788261026190848e-01 2.256517524386905671e-02 6.600683079267145592e-01 3.217065682824268524e+00 9.635628419774743270e-01 9.455318862141872671e-01 7.128806391000099829e+00 5.228899762806250351e+00 -8.905730941622737122e+10 -8.905730942813931274e+10
3.567677423267811010e-01 2.147310659702274249e-02 6.786508800420467669e-01 3.060386861035734540e+00 9.636333602900314377e-01 -4.937511251931898659e-01 4.468401160734351563e-01 6.095105946793637486e+00 -8.282185071997724473e+07 -8.282186263191656768e+07
3.265777559560192334e-01 2.239057013698006124e-02 7.179362141270527742e-01 3.133491951437261225e+00 9.597787536626982696e-01 1.248462883108247379e+00 1.050654716063658256e+01 -5.949565513057588184e+00 -inf -inf
2.989075197131504380e-01 2.272503428084169178e-02 6.614595276973267435e-01 3.158352008475576067e+00 9.686930124819713717e-01 1.484248037838508338e+00 1.046729291010376350e+01 2.093320549090517346e+00 -inf -inf
