# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
3.047199523491322393e-01 2.200290229807384118e-02 6.866899674535517084e-01 2.947983195673333778e+00 9.654805086489829380e-01 -1.144671002976352714e+00 1.096762894678957601e+01 -2.592988994428996108e+00 -inf -inf
2.991788234082692899e-01 2.253297150023051559e-02 6.329487337955859161e-01 3.159410048184780440e+00 9.613030447044756954e-01 -1.198536606732093279e+00 6.243278631946823864e+00 -3.256836588654170583e+00 -inf -inf
3.497568386623918779e-01 2.248149207878433892e-02 6.124843527254503206e-01 2.851905280026845624e+00 9.577719324852783656e-01 -9.906393177065146993e-01 5.800781936425383201e+00 -5.545414942881261133e+00 -3.119060981266212366e+03 -3.133209168304808372e+03
3.116036112449990236e-01 2.244441132686835275e-02 6.645768073161861800e-01 3.116270418496753791e+00 9.596855494780142104e-01 -9.433142170344637201e-01 8.791241995151796829e+00 4.223162080327552914e+00 -3.606800363725071907e+09 -3.606800377873258591e+09
3.457484042533784940e-01 2.251760173327445325e-02 7.099696789080881532e-01 2.960423991003997113e+00 9.639552522290590897e-01 -1.147726152184204373e+00 8.490211106973760691e-01 1.786093426016654107e+00 -inf -inf
3.398021033539063152e-01 2.151989951466379281e-02 7.188146443515888162e-01 3.059501601135795390e+00 9.532338750658995163e-01 1.404104919600699830e+00 1.131660559540689626e+01 -3.969409032764845691e-01 -inf -inf
3.159288048301147622e-01 2.311373968030934131e-02 6.769720548601386723e-01 2.996563628279524494e+00 9.551027755052267088e-01 -1.464970449214878290e+00 4.483539872554950456e+00 2.226791692579599413e-02 -inf -inf
2.930932757649299947e-01 2.208879841962727020e-02 6.259207346272362971e-01 3.132284979730383334e+00 9.636667824252381775e-01 1.321330694716485343e+00 3.038041057907019837e+00 4.612945526349857772e+00 -inf -inf
3.211772630051776267e-01 2.217157980881330828e-02 6.760716964497728299e-01 2.929833433933469955e+00 9.648749747475102723e-01 1.498496889138934751e+00 6.103512209669401223e+00 1.601908167964486651e+00 -inf -inf
3.443957916727299340e-01 2.232499456967473872e-02 7.292564621800168290e-01 3.142593957151229134e+00 9.677833269860918186e-01 1.475589586402032971e+00 1.041462162452707574e+01 -3.928002117745241772e+00 -inf -inf
3.331783037264845482e-01 2.296643913391365616e-02 6.493995914127728142e-01 2.908841851091772845e+00 9.613421318859950437e-01 4.111395680943199515e-01 1.194806771262932443e+01 2.876643908983623987e+00 -2.472889578374039829e+08 -2.472889719855910242e+08
3.486717700254471919e-01 2.221243858521779538e-02 6.444073436866946114e-01 2.859813545063743856e+00 9.619036235435015625e-01 1.402529900262972085e+00 4.309506662051070691e+00 3.476525256549621190e+00 -inf -inf
2.819957822870718944e-01 2.237458635479094501e-02 7.024183301262287848e-01 2.928349471816231286e+00 9.512600750781512460e-01 -6.467811838595083351e-02 2.940707708754484173e+00 5.110838978161012847e+00 -9.234987892852362394e+08 -9.234988034334232807e+08
3.593460113949033530e-01 2.193806493876313338e-02 6.729060826685899777e-01 3.214587915168418242e+00 9.587121167213767947e-01 -1.179074879901887751e+00 5.437130905357027366e+00 -4.754083819477688877e+00 -inf -inf
2.953002106790657000e-01 2.238385234538537577e-02 7.096307663552906542e-01 2.880918499726650150e+00 9.686708442382824247e-01 -1.301938667701783681e+00 7.187454657918635803e+00 -2.389758387605543710e+00 -inf -inf
3.563472759500024845e-01 2.171395023611119232e-02 6.999349641155250268e-01 3.159300284645891299e+00 9.639670195452439971e-01 -1.295458894484518453e+00 1.036491288783718900e+01 -6.204497487378486831e+00 -inf -inf
