# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          a1_IA          eta1_IA        log_w   log_l
2.906301696854195482e-01 2.232160304507683699e-02 6.159879504749427026e-01 2.844751653287734605e+00 9.667043419642478153e-01 1.277317867773276827e+00 2.857448949878497846e+00 1.857162179334721941e+00 -inf -inf
3.338799714653831741e-01 2.296108258859491311e-02 6.499232184900859410e-01 3.013058584502361636e+00 9.620991984765531191e-01 -1.084676350991855553e+00 2.327572969040210715e+00 5.950986775751246682e+00 -inf -inf
2.963933860485782334e-01 2.183364174691408352e-02 7.023960569610816496e-01 3.143586936095680962e+00 9.587401688613488293e-01 -9.307456091340782223e-01 7.887611970899443214e+00 7.753018048798931972e-02 -1.587202220965534798e+05 -1.587340116502104211e+05
3.101300087199000410e-01 2.217147058769157464e-02 6.201571879307916646e-01 3.003569764550533261e+00 9.635512455824963851e-01 1.327095289111391629e+00 5.209613459604797825e+00 -2.065953189163714399e+00 -inf -inf
3.130024928985927768e-01 2.223837030270195414e-02 6.318888654827465867e-01 2.837333635324050363e+00 9.565658111396988517e-01 5.596917956553522089e-01 4.152873621478538446e+00 5.790462297832384309e+00 -4.672808954096843719e+10 -4.672808955475799561e+10
3.142335175017731963e-01 2.190399826460887045e-02 7.087076567670486105e-01 3.184812034140351411e+00 9.633739932749235679e-01 -1.095257828351268170e+00 5.009208039733848317e+00 3.538623072880577425e+00 -inf -inf
2.950764265277808773e-01 2.165436621419067342e-02 6.664976378594048567e-01 2.863824026919003174e+00 9.547421459935285792e-01 1.007704872583331301e+00 8.234189097574772020e+00 -2.441854150943771451e+00 -inf -inf
3.369967199511679778e-01 2.227276320870364909e-02 6.703010206038602092e-01 3.054839905805690314e+00 9.611376003259464174e-01 -3.143105799469652073e-01 8.603181571283730733e+00 5.959439360945006925e+00 -7.865520653616730469e+12 -7.865520653630519531e+12
3.363237485820197437e-01 2.241336086752621429e-02 6.967543662155170070e-01 3.125350510225720857e+00 9.603852615318201336e-01 -1.450798442321738158e+00 5.449326415247357502e+00 5.964070126615798273e+00 -inf -inf
3.278243963616307433e-01 2.186804415295810419e-02 6.277091186919784294e-01 2.936124365039400885e+00 9.634970102476769771e-01 1.283611810606702264e+00 9.641239488980797745e+00 -1.542178762229817757e+00 -inf -inf
3.572471457869247358e-01 2.220818020249976793e-02 6.534178617196801930e-01 3.084676159191719336e+00 9.676221674343530310e-01 -1.370891245221793397e+00 2.369201651310970824e+00 8.621277088805001654e-04 -inf -inf
3.364044226395090376e-01 2.259408600114677645e-02 7.096068541298844456e-01 3.157468849528560551e+00 9.581015355317734628e-01 6.761538852078041728e-01 5.966214395320034392e+00 3.823542068967226371e+00 -1.018533100660344124e+09 -1.018533114449897766e+09
3.415655246180518967e-01 2.227917266291373419e-02 6.912350118249034336e-01 2.858037228223122117e+00 9.557524031018832522e-01 -9.570309576551232489e-01 6.128191199961696256e+00 4.601734836592237698e+00 -5.172654355877551079e+09 -5.172654369667104721e+09
2.861313335179878625e-01 2.215947278558005537e-02 7.289195786584345971e-01 3.014011894708740424e+00 9.658313231731144866e-01 -7.206157041720826495e-01 7.758736060555751379e+00 2.720501814519650452e+00 -1.111165960736960918e+07 -1.111167339692326449e+07
3.424273617695235972e-01 2.243881368620103192e-02 6.476314841614576601e-01 2.915619807371484296e+00 9.585782365471089417e-01 1.330281975654377113e+00 1.079265157735279423e+01 -3.279015830879798532e+00 -inf -inf
3.213178303713473127e-01 2.242132976829921964e-02 7.204697944343199101e-01 3.086525692913849372e+00 9.650342022748199522e-01 -1.324556143132869845e+00 1.621186422485816792e+00 -6.438728349240427917e-01 -inf -inf
3.294252097592711981e-01 2.193006195410985432e-02 6.724074801003772084e-01 2.988263384982604354e+00 9.648792546294520101e-01 -1.330607154378391499e+00 1.804536081608995701e+00 -5.706700634463927280e+00 -inf -inf
3.263472035563311779e-01 2.195933571179678120e-02 6.217904829567316716e-01 3.128540901042674349e+00 9.622112922069205876e-01 2.451620815785950924e-01 1.877178876767685134e+00 5.736861718060486837e+00 -5.380448126366250038e+09 -5.380448140155803680e+09
3.511107886650967624e-01 2.230285356017030693e-02 6.504423042809409639e-01 3.012679870530718063e+00 9.618193437607521767e-01 1.010956752130720560e+00 9.771405595979278047e+00 1.120150039137890019e+00 -inf -inf
3.395919816374293743e-01 2.200498947193507346e-02 6.808512324340159072e-01 3.044641065970171034e+00 9.623832780714967061e-01 1.222810031503963835e+00 1.408674172178911110e+00 3.109374970750209854e+00 -inf -inf
3.235288298341504332e-01 2.219889652368706515e-02 7.240067889984937999e-01 3.044875593497095689e+00 9.560091872405023228e-01 1.881622062748871116e-01 1.011050921335524500e+01 4.120798373320042174e+00 -1.366310434176488113e+10 -1.366310435555443573e+10
3.410556208999937500e-01 2.235989630729722302e-02 7.159068577750269391e-01 3.086824894546019049e+00 9.617693456068586721e-01 -1.309934621732171456e+00 1.195170175938447166e+01 -3.303965793689574770e+00 -inf -inf
3.031601456701390473e-01 2.164411564352825348e-02 6.210791811305438337e-01 3.065004511873795412e+00 9.641557402196673232e-01 -1.168561981833624586e+00 4.984894944932561245e+00 -6.406383199669360984e+00 -inf -inf
3.446099485038299770e-01 2.249801397586996196e-02 6.727658672521285022e-01 3.022120041900565379e+00 9.594426201077880245e-01 1.052073843528126496e+00 3.744536383514291078e+00 1.258865257305885166e+00 -inf -inf
3.172253772597782295e-01 2.259259738162104972e-02 6.258260252302073612e-01 3.048813631858613427e+00 9.599931976610929230e-01 1.116464761871017064e+00 6.994084096773940828e+00 -5.291454037202013794e+00 -inf -inf
3.039660315960320269e-01 2.233923654152662058e-02 7.255497807583348724e-01 2.981474658906410280e+00 9.596251605886796376e-01 2.900880312318208087e-01 9.839285005041505272e+00 5.350729460452237518e+00 -9.082119906046671143e+11 -9.082119906184566650e+11
3.213932458862142072e-01 2.204718312383138756e-02 6.965262604952855430e-01 3.204343345434101042e+00 9.662000136317551169e-01 -9.926607095733777086e-01 9.322924942856799291e+00 -1.558127134790931123e+00 -7.435049016752181342e+04 -7.436427972117876925e+04
3.477321939112648641e-01 2.182950757228475230e-02 6.912945526369556060e-01 3.164622525377599693e+00 9.649362194956072614e-01 7.399527887535892745e-01 8.357328605396139309e+00 2.570408189877809946e+00 -6.702737906795787811e+07 -6.702739285751153529e+07
3.329552496099464909e-01 2.193384658356600098e-02 7.025763417133804589e-01 2.974329689891678896e+00 9.639583338894976983e-01 1.278366903184550374e+00 1.041256912188137917e+01 -3.185724932682285626e-01 -inf -inf
3.253026685076535474e-01 2.185470760690704992e-02 7.133588027668406051e-01 3.080938327872857485e+00 9.574429539695574753e-01 3.970537016877986325e-01 9.061948846197875440e+00 5.411792359113331230e+00 -1.546826670022714111e+12 -1.546826670036503662e+12
3.312852326284312365e-01 2.197840240251242028e-02 6.329773615425575706e-01 2.844401407731572906e+00 9.618830482344983279e-01 -1.125006254205556111e+00 8.565425643551991541e+00 3.751925439544914198e+00 -inf -inf
2.811334373243995488e-01 2.209398923086236186e-02 7.238452632830005840e-01 3.104759042031991711e+00 9.637965383809383724e-01 -1.081392583629160242e+00 5.092210055759910148e+00 -2.110103715179549866e-01 -inf -inf
3.017769521206251637e-01 2.268823710050753284e-02 6.847297720702065771e-01 3.157532177360242720e+00 9.613893440739952334e-01 9.784119702741098656e-01 9.749984506434655751e-01 5.240865591922478472e+00 -7.988284203101018071e+07 -7.988285582056383789e+07
2.916271430636138140e-01 2.181432955628855030e-02 6.930029011838680919e-01 3.027696493606711670e+00 9.619116764863684388e-01 -1.323775509780369841e+00 1.160985547842597754e+01 1.805729070469244135e+00 -inf -inf
3.341722468708032689e-01 2.152435522701733744e-02 6.944515065044140067e-01 3.101710430399954976e+00 9.667378463727572813e-01 -1.027250047719850290e+00 8.029968583846324393e+00 2.044331589124871229e+00 -inf -inf
